Product code,Product label,Viet Nam's imports from Saudi Arabia-Value in 2012,Viet Nam's imports from Saudi Arabia-Value in 2013,Viet Nam's imports from Saudi Arabia-Value in 2014,Viet Nam's imports from Saudi Arabia-Value in 2015,Viet Nam's imports from Saudi Arabia-Value in 2016,Viet Nam's imports from Saudi Arabia-Value in 2017,Viet Nam's imports from Saudi Arabia-Value in 2018,Viet Nam's imports from Saudi Arabia-Value in 2019,Viet Nam's imports from Saudi Arabia-Value in 2020,Viet Nam's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
251910,"Natural magnesium carbonate """"magnesite""""""""",0,0,0,0,0,0,0,0,0,,,1954,135,411,51,7,0,0,0,0,0,,545,441,101,283,606,67,97,130,82,1051
252410,Crocidolite asbestos (excluding products made from crocidolite),0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2276,1363,1039,375,0,0,0,0,0,
260400,Nickel ores and concentrates,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,201,599,860,961,595,786,755,35,31,121
261610,Silver ores and concentrates,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,79
261790,"Ores and concentrates (excluding iron, manganese, copper, nickel, cobalt, aluminium, lead, ...",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,79,0,0,15,2,312
261800,Granulated slag (slag sand) from the manufacture of iron or steel,0,0,0,0,0,0,0,0,0,,,0,0,0,5,1,356,0,0,0,0,,8080,13780,20412,15076,14542,13741,8608,5169,2980,1088
270600,"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not ...",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,992,1022,519,553,638,477,715,743,944,273
270720,"Toluol """"toluene"""" containing > 50% of toluene (excluding chemically defined)""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,351,464,326,375,270,306,99,119,7,163
270750,"Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250¡ÆC by ...",0,0,0,0,0,0,0,0,0,,,825438,723201,564809,25,0,17,0,0,0,0,,47598,56001,54192,45125,41301,54486,64785,62791,47224,73831
280519,Alkali or alkaline-earth metals  (excluding sodium and calcium),0,0,0,0,0,0,0,0,0,,,0,0,163,827,73,0,109,0,0,583,,326,418,399,17,184,80,116,14,167,439
280620,Chlorosulphuric acid,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1,0,0,0,0,,0,0,0,6,0,0,0,0,0,
281111,"Hydrogen fluoride """"hydrofluoric acid""""""""",0,0,0,0,0,0,0,0,0,,,163,0,0,0,8,0,0,32,12,60,,1693,1867,1516,1827,3820,6941,10869,11446,9989,9937
281210,Chlorides and chloride oxides,0,0,0,0,0,0,0,0,0,,,0,0,0,199,3338,0,0,0,0,0,,118,137,243,292,890,1216,0,0,0,
281219,"Chlorides and chloride oxides (excl. carbonyl dichloride """"phosgene"""", phosphorus oxy-, tri- ...""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,412,864,1060,414
281420,Ammonia in aqueous solution,0,0,0,0,0,0,0,0,0,,,513178,525833,0,46,275,9,334253,333869,406014,122015,,340,323,5434,314,487,794,975,1250,830,219
281990,Chromium oxides and hydroxides (excluding chromium trioxide),0,0,0,0,0,0,0,0,0,,,377,781,1026,2208,34,109,0,0,0,0,,1512,1490,1954,2160,2411,2803,2291,2489,1567,1410
282590,"Bases, inorganic, and metal oxides, hydroxides and peroxides, n.e.s.",0,0,0,0,0,0,0,0,0,,,12059,22828,15193,515,254,45,0,283,280,175,,15231,6093,2203,1842,2613,4255,2225,2161,2891,11584
282612,Fluoride of aluminium,0,0,0,0,0,0,0,0,0,,,1171,2759,324,0,80,190,405,0,29,0,,9,29,14,13,59,51,42,77,2,17
