Product code,Product label,India's imports from Japan-Value in 2012,India's imports from Japan-Value in 2013,India's imports from Japan-Value in 2014,India's imports from Japan-Value in 2015,India's imports from Japan-Value in 2016,India's imports from Japan-Value in 2017,India's imports from Japan-Value in 2018,India's imports from Japan-Value in 2019,India's imports from Japan-Value in 2020,India's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
290242,M-Xylene,1413,1935,1075,1311,1376,1589,3606,2623,2504,4470,,33429,47510,41118,55335,56495,106692,144323,91871,26678,32034,,7983,3792,2929,4015,3793,3547,4745,3203,3083,4514
760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular ...",3967,2587,4270,4692,7436,4411,5246,5844,2705,4439,,688962,601493,744052,768073,685861,708327,695560,608950,507687,693148,,113707,129977,173292,200324,169950,201932,277144,227806,184344,314541
750512,"Bars, rods, profiles and wire, of nickel alloys, n.e.s. (excluding electrically insulated products)",1381,1335,2886,2991,1964,3402,7389,5406,6863,4439,,40164,35320,49275,34145,39691,32399,27336,30029,28325,29267,,32673,132206,35050,30872,28458,35434,59309,76317,69479,82749
846729,"Electromechanical tools for working in the hand, with self-contained electric motor (excluding ...",1151,841,1670,1118,1223,1112,4179,8355,4084,4407,,327153,297551,272729,243819,255629,295919,312236,303132,267856,383596,,38604,36172,49598,49248,54895,59164,93337,104148,85229,123270
841990,"Parts of machinery, plant and laboratory equipment, whether or not electrically heated, for ...",4099,4014,2805,3405,7210,9320,6955,5680,2314,4390,,227948,231452,176728,152572,176705,187953,180525,182401,149673,193652,,173097,121953,145245,112030,121309,140631,138826,143870,108779,152034
481190,"Paper, paperboard, cellulose wadding and webs of soft cellulose, coated, impregnated, covered, ...",7173,5714,6561,6614,5566,5302,4109,3755,2831,4384,,193378,169579,172285,159131,158875,151316,139661,111652,83791,93687,,126168,123476,135553,148950,151839,157950,187623,173230,125874,172504
481019,"Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres ...",2851,1242,1491,2026,3751,4826,9728,11859,8689,4373,,153871,152069,140837,155925,155876,160729,169414,137990,86751,99713,,147785,203830,260560,253781,310172,389886,338059,307777,132797,127771
848240,Needle roller bearings,4472,3834,4921,4523,4812,4844,5378,6637,3617,4361,,271510,261975,252189,228920,236104,267737,278503,265096,212251,267927,,18709,19796,22116,22164,22181,25007,31372,28377,26207,37013
848360,"Clutches and shaft couplings, incl. universal joints, for machinery",5591,10555,5265,5359,6616,4544,5417,7159,5623,4355,,204738,168903,164868,152986,149392,176436,190941,170939,149099,177887,,101356,99951,92022,90109,90991,88453,91618,98050,76131,108682
903220,"Manostats (excluding taps, cocks and valves of heading 8481)",22,20,67,405,876,1846,872,3951,3649,4335,,58999,60160,56242,58811,69216,85860,91895,80123,76512,88194,,7675,4811,6241,7191,5669,7678,9167,12008,11920,19618
780110,"Unwrought lead, refined",1710,0,0,0,0,0,614,1844,8859,4316,,43884,20063,12947,10478,13035,1437,5603,10951,40476,31633,,222773,231556,245014,207544,219009,287869,298050,202521,188689,149849
350691,Adhesives based on polymers of heading 3901 to 3913 or on rubber (excluding products suitable ...,3701,1900,2079,2925,2310,2774,3485,3263,3337,4309,,516562,444557,463845,397184,411536,359704,360969,342819,305366,350142,,50423,54720,59154,63808,57449,73096,92494,97317,86744,136054
284690,"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures ...",262,2569,620,774,1068,1739,3039,4106,2578,4305,,90361,58155,97515,103471,104814,118382,140710,125081,130623,128014,,5102,7383,6668,5513,3590,6840,9555,10459,6698,10065
721391,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel, of circular ...",2874,491,815,384,656,2348,2594,884,723,4299,,531924,592684,614425,537159,507216,497794,465670,375771,264129,474537,,24718,2506,7475,15906,7069,15630,35239,24040,8973,19406
740313,"Copper, refined, in the form of billets",2807,2834,3370,1387,1409,2788,3233,3814,2777,4298,,90738,80624,75238,64644,64634,88356,85370,80779,75486,114580,,8913,7792,6386,4624,4892,9021,9882,11223,9131,13177
291830,"Carboxylic acids with aldehyde or ketone function but without other oxygen function, their ...",275,369,776,845,1372,2442,2481,6615,5129,4274,,34526,30192,29649,31067,31260,38976,41785,34598,37035,46703,,53305,65614,74192,89112,65193,87721,99503,81936,102449,113868
