Product code,Product label,"United States of America's imports from Taipei, Chinese-Value in 2012","United States of America's imports from Taipei, Chinese-Value in 2013","United States of America's imports from Taipei, Chinese-Value in 2014","United States of America's imports from Taipei, Chinese-Value in 2015","United States of America's imports from Taipei, Chinese-Value in 2016","United States of America's imports from Taipei, Chinese-Value in 2017","United States of America's imports from Taipei, Chinese-Value in 2018","United States of America's imports from Taipei, Chinese-Value in 2019","United States of America's imports from Taipei, Chinese-Value in 2020","United States of America's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
420222,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",868,475,502,1539,440,494,765,865,1032,1615,,13083,13204,14306,13593,14545,14583,16756,15526,14554,17673,,1491007,1472717,1447521,1542402,1433167,1458567,1513471,1427297,1212103,1723780
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",118,638,231,211,97,134,215,750,1686,1614,,4732,4553,4804,38486,50832,15083,29428,48489,108782,100744,,629765,700528,707934,700109,643772,670075,894475,1012895,1196145,952212
200599,"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar, non-frozen ...""",1718,1738,2107,2152,2561,2377,1396,1185,1547,1613,,7647,8376,8720,8234,8308,8720,7433,9012,12527,11290,,399516,395165,454051,487002,540498,662611,606879,535089,621538,686146
845430,Casting machines of a kind used in metallurgy or in metal foundries,2029,1013,618,711,2277,552,1258,1247,1198,1605,,22745,25077,25934,18455,21155,23542,22689,17466,12788,19418,,76020,102464,76262,122829,95151,109880,61679,74421,82872,64738
540741,"Woven fabrics of yarn containing >= 85% by weight of filaments of nylon or other polyamides, ...",113,195,640,1016,630,663,455,395,338,1591,,110243,113795,114707,111577,116144,129507,143732,118388,78041,87680,,7698,12496,9286,8098,6201,6734,5520,7115,7440,10694
640391,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather, ...",3000,7755,6255,6959,3285,2986,3773,2321,1475,1584,,342,890,1235,456,978,811,1000,1142,1276,1075,,3639233,3838818,4436075,4714181,4185118,3702623,3767754,4118154,3239592,4149992
850161,"AC generators """"alternators"""", of an output <= 75 kVA (excl. photovoltaic generators)""""",1719,4282,5120,4616,4046,6761,6297,5944,3815,1570,,8924,8773,8846,8122,8104,9648,9253,8937,8073,5592,,201565,206604,213179,212869,162842,185143,238470,431954,332729,456673
741121,"Tubes and pipes of copper-zinc base alloys """"brass""""""""",790,595,1031,1147,900,1227,986,741,1039,1562,,666,732,394,386,338,457,542,634,903,1359,,97604,89888,91184,77395,66503,76566,106071,87780,65363,85754
400122,"Technically specified natural rubber """"TSNR""""""""",516,2,37,1,6,6,236,1489,1754,1558,,1,0,0,4,1,0,0,33,1,3,,2998594,2275600,1791653,1401403,1218407,1613944,1439415,1463044,1145026,1729329
841311,"Pumps fitted or designed to be fitted with a measuring device, for dispensing fuel or lubricants, ...",339,281,205,305,264,475,412,806,887,1551,,2081,2318,2404,2582,2363,2677,2619,2756,3167,4709,,16594,17531,18908,16769,15040,17718,24458,35951,31675,52143
961519,"Combs, hair-slides and the like (excluding of hard rubber or plastics)",2532,1842,1143,1325,948,1075,1131,740,1013,1544,,6842,6381,6408,6154,5754,6126,7638,8267,7819,9563,,97392,89891,89814,92771,82167,88583,100430,106715,88750,101638
841919,"Instantaneous or storage water heaters, non-electric (excl. instantaneous gas water heaters, ...",12536,9927,6334,31,2504,3659,3805,2509,1402,1529,,1028,1498,1238,632,422,731,650,756,923,509,,385081,329920,412822,367981,369412,376884,438693,452397,425388,521730
