Product code,Product label,Viet Nam's imports from United States of America-Value in 2012,Viet Nam's imports from United States of America-Value in 2013,Viet Nam's imports from United States of America-Value in 2014,Viet Nam's imports from United States of America-Value in 2015,Viet Nam's imports from United States of America-Value in 2016,Viet Nam's imports from United States of America-Value in 2017,Viet Nam's imports from United States of America-Value in 2018,Viet Nam's imports from United States of America-Value in 2019,Viet Nam's imports from United States of America-Value in 2020,Viet Nam's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
820231,"Circular saw blades, incl. slitting or slotting saw blades, of base metal, with working parts ...",8,7,13,44,13,1,3,19,0,,,20407,20411,20073,20299,18096,18172,18625,19173,16558,21025,,3379,2972,3376,4908,4947,5848,3410,2566,4073,13126
820559,"Hand tools, incl. glaziers' diamonds, of base metal, n.e.s.",205,232,662,251,204,331,707,787,572,,,327755,349272,374748,331352,334799,329392,373167,360068,290164,313181,,5561,4526,4544,6876,5692,5700,10481,8196,7658,38287
820560,Blowlamps and the like (excluding gas-powered blowlamps),0,0,3,0,0,0,0,0,3,,,9130,10407,9877,8836,7597,8463,9693,10037,8909,8383,,14,38,87,39,167,116,23,34,60,145
820719,"Rock-drilling or earth-boring tools, interchangeable, and parts therefor, with working parts ...",3423,2686,3231,1219,196,1058,1497,1482,1555,,,1143180,1134138,1079373,691846,522818,589948,614988,613109,450413,499632,,8847,9237,10544,8725,6768,7181,7668,9102,10337,21601
820750,"Tools for drilling, interchangeable (excluding rock-drilling or earth-boring tools and tools ...",607,1122,702,644,590,769,828,559,445,,,185700,188594,187322,187725,198329,189034,202121,192009,164941,317642,,20339,26834,24959,27489,31537,34056,46893,51102,47260,57478
820890,"Knives and cutting blades, of base metal, for machines or for mechanical appliances (excluding ...",887,788,779,940,783,1282,1222,1316,1035,,,70870,74570,83240,84591,87456,95403,98310,103643,96367,110788,,26245,30998,54793,132873,112315,120035,83996,63798,61935,28273
821110,Sets of assorted articles of knives of heading 8211; sets in which there is a higher number ...,8,0,0,2,0,4,15,81,0,,,4667,3771,3607,3269,4155,5009,5404,7040,7155,8923,,152,134,342,501,495,750,1429,808,785,9482
821195,"Handles of base metal for table knives, pocket knives and other knives of heading 8211",4,0,1,1,2,2,3,2,3,,,1165,1411,817,760,1118,1485,1313,1301,2402,3947,,417,509,614,374,384,415,757,480,309,564
821220,"Safety razor blades of base metal, incl. razor blade blanks in strips",49,29,30,16,16,1132,3715,4620,9778,,,186920,157871,160672,155464,131849,136242,161574,137950,127862,152898,,16082,17317,20247,18772,20186,18919,28046,37117,47563,40002
821510,"Sets of spoons, forks or other articles of heading 8215, which may also contain up to an equivalent ...",0,0,0,0,0,0,0,0,0,,,1652,2450,1620,1465,1602,1308,1350,2335,2402,1871,,6,7,0,0,11,0,0,6,0,125
830990,"Stoppers, caps and lids, incl. screw caps and pouring stoppers, capsules for bottles, threaded ...",488,217,263,297,336,186,221,220,417,,,594306,606534,639749,621436,602318,500777,512302,462182,469157,537794,,78523,83156,80480,84114,94222,104167,101442,97453,96977,105847
840729,"Spark-ignition reciprocating or rotary engines, for marine propulsion (excluding outboard motors)",298,36,40,7424,54,58,18,77,115,,,61659,60572,74601,75642,69006,73139,77063,72671,65845,105864,,1558,1156,339,7741,202,389,488,136,741,364
841011,"Hydraulic turbines and water wheels, of a power <= 1.000 kW (excluding hydraulic power engines ...",1,90,1,14,0,3,1,0,0,,,19495,14553,11689,11199,11298,14327,18183,7593,15405,8491,,598,479,1247,1682,212,805,1580,2156,1419,1689
841111,Turbojets of a thrust <= 25 kN,0,0,0,0,0,0,0,0,0,,,17107,22532,195448,293754,251166,202704,242679,238202,155686,105528,,5,1,9,187,255,1,1,0,6,24767
841311,"Pumps fitted or designed to be fitted with a measuring device, for dispensing fuel or lubricants, ...",85,187,268,238,1078,661,304,384,145,,,201293,175436,181759,163646,131025,114663,118528,118762,121949,124432,,3748,2378,3362,9204,11111,9362,11303,8897,7282,7679
841420,Hand-operated or foot-operated air pumps,76,21,205,46,9,8,10,25,34,,,12688,14220,15868,27775,36567,23013,24177,48879,36015,30809,,1592,3358,4618,4262,4288,3700,3672,4441,4341,14349
841581,"Air conditioning machines incorporating a refrigerating unit and a valve for reversal of the ...""",162,51,0,0,1468,0,2,0,445,,,142052,151560,139028,116008,102700,106534,110596,99069,78618,91764,,77819,63716,81510,119297,64026,68130,70916,79473,63537,7300
841583,"Air conditioning machines comprising a motor-driven fan, not incorporating a refrigerating ...""",4,17,10,62,280,6,1,17,46,,,200522,201784,209677,203830,207581,194883,209676,205240,176006,215940,,6387,10242,6473,7355,10766,9842,12523,17106,10503,18597
841610,Furnace burners for liquid fuel,35,37,25,7,28,68,22,28,78,,,37298,63422,27030,15401,37753,34374,28293,14054,12816,14584,,598,828,768,1505,1952,1943,3267,1827,1560,2680
841710,"Industrial or laboratory furnaces and ovens, non-electric, for the roasting, melting or other ...",109,8,3673,0,3316,368,2084,780,1975,,,71781,74477,73366,66135,40516,63329,55832,49246,35530,42725,,72184,68778,53981,31694,111667,123219,52260,113812,70716,10613
841919,"Instantaneous or storage water heaters, non-electric (excl. instantaneous gas water heaters, ...",246,467,327,473,100,0,0,1,0,,,144137,163619,177201,158679,154946,188123,195973,170856,179887,183998,,5571,6103,5329,5212,6146,7184,7630,6213,4405,6039
841932,"Dryers for wood, paper pulp, paper or paperboard",3,8,1520,1,406,215,1,0,34,,,14692,13891,17447,13761,8644,11055,11566,6138,6657,8323,,5696,4084,7247,9121,10011,9798,11300,16495,6970,39999
841939,"Dryers (excl. lyophilisation apparatus, freeze drying units, spray dryers, dryers for agricultural ...",4129,3549,835,792,2044,7672,1777,1887,3150,,,184213,155271,130436,133028,117961,132260,129881,126143,121278,156981,,57989,61853,88761,94257,90783,128359,122538,115765,128639,80892
841940,Distilling or rectifying plant,112,675,3457,480,159,155,297,4272,341,,,131062,105975,330269,111098,30631,15541,30413,60647,59803,51148,,12451,9652,27469,199732,17006,10711,17433,15789,46778,16228
842123,Oil or petrol-filters for internal combustion engines,2174,1969,1926,2255,1998,1871,1796,2089,1673,,,907973,847681,919471,922326,886983,988376,969547,937014,830159,951545,,25119,25179,25533,34469,35031,34104,34165,39532,56938,29004
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,3250,4603,2696,4946,4537,4422,2591,2557,2061,,,1174074,1307952,1527864,1480311,1482490,1562528,1671342,1863248,1910886,2418886,,75925,52070,41915,67587,58035,53332,57161,57988,37701,61327
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,1574,1876,3227,15616,5243,3562,5255,2678,3233,,,2062257,2387136,2753017,2792403,2455399,2826500,3496437,3549507,3178733,3414676,,81908,141233,154920,259925,170335,252272,204094,169967,214707,240061
