Product code,Product label,China's imports from India-Value in 2012,China's imports from India-Value in 2013,China's imports from India-Value in 2014,China's imports from India-Value in 2015,China's imports from India-Value in 2016,China's imports from India-Value in 2017,China's imports from India-Value in 2018,China's imports from India-Value in 2019,China's imports from India-Value in 2020,China's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
30290,Fresh or chilled fish livers and roes,0,0,0,0,0,0,0,0,0,0,,0,25,23,38,9,0,0,0,0,0,,62,4,46,0,0,0,0,0,0,0
30312,"Frozen Pacific salmon (excluding sockeye salmon """"red salmon"""")""""",0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,,279379,380624,400000,327437,398447,439932,572109,325698,180821,176003
200860,"Cherries, prepared or preserved, whether or not containing added sugar or other sweetening ...",0,0,0,0,0,0,0,0,0,0,,24,2,75,74,160,63,18,11,1,4,,735,929,1479,1322,1112,1172,1287,1669,918,1375
200880,"Strawberries, prepared or preserved, whether or not containing added sugar or other sweetening ...",0,0,0,0,0,0,0,0,0,0,,99,128,111,22,68,327,327,685,358,325,,135,89,342,175,354,345,338,2890,3824,2719
200921,"Grapefruit juice, unfermented, Brix value <= 20 at 20¡ÆC, whether or not containing added sugar ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0,245,166,277,164,,523,877,1351,1557,1816,2131,2400,4027,2307,5766
200979,"Apple juice, unfermented, Brix value > 20 at 20¡ÆC, whether or not containing added sugar or ...",0,0,0,0,0,0,0,0,0,0,,104,178,540,77,39,99,281,346,232,390,,188,330,502,273,384,514,367,1502,406,307
210330,"Mustard flour and meal, whether or not prepared, and mustard",22,0,0,0,0,0,0,0,0,0,,13,23,30,14,31,29,25,611,154,39,,2511,3347,3639,4563,3894,4220,3641,4362,3999,4752
210420,"Food preparations consisting of finely homogenised mixtures of two or more basic ingredients, ...",0,0,0,0,0,0,0,0,0,0,,2002,991,1168,869,933,799,952,1628,313,202,,665,566,1141,2337,3142,8311,10769,10980,12686,10460
210500,"Ice cream and other edible ice, whether or not containing cocoa",0,0,0,0,0,0,0,0,0,0,,1049,1424,1468,1676,2969,5616,6692,7087,6094,8412,,43169,53964,65960,64721,60686,67755,89090,102762,91956,113697
200210,"Tomatoes, whole or in pieces, prepared or preserved otherwise than by vinegar or acetic acid",0,0,0,0,0,0,0,0,0,0,,447,478,758,531,115,152,114,146,111,119,,2104,2877,3264,4283,4255,4084,4799,5181,5000,5440
200540,"Peas """"Pisum Sativum"""", prepared or preserved otherwise than by vinegar or acetic acid (excluding ...""",3,0,0,0,0,0,0,0,0,0,,4,298,73,37,11,7,1,6,5,7,,4050,3115,2050,2594,2345,2109,2093,2495,1985,1211
200559,"Unshelled beans """"Vigna spp., Phaseolus spp."""", prepared or preserved otherwise than by vinegar ...""",0,0,0,0,0,0,0,0,0,0,,880,895,1308,832,47,1170,1008,1290,1229,654,,129,145,130,109,80,77,121,242,228,395
