Product code,Product label,"Korea, Republic of's imports from Japan-Value in 2012","Korea, Republic of's imports from Japan-Value in 2013","Korea, Republic of's imports from Japan-Value in 2014","Korea, Republic of's imports from Japan-Value in 2015","Korea, Republic of's imports from Japan-Value in 2016","Korea, Republic of's imports from Japan-Value in 2017","Korea, Republic of's imports from Japan-Value in 2018","Korea, Republic of's imports from Japan-Value in 2019","Korea, Republic of's imports from Japan-Value in 2020","Korea, Republic of's imports from Japan-Value in 2021",Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
850239,Generating sets (excluding wind-powered and powered by spark-ignition internal combustion piston ...,33431,18773,25270,75752,75303,26783,4949,635,18971,357,,333669,139942,145334,166673,192726,134069,137254,92862,47702,9825,,184158,141128,189994,134723,142595,90088,17524,22158,50289,27641
940169,"Seats, with wooden frames (excluding upholstered)",575,852,1784,1019,726,551,642,317,281,356,,1230,1675,1906,2237,4982,3703,4241,4164,3669,5154,,218076,234558,272341,307277,281240,293651,317727,312392,330445,365417
420239,"Wallets, purses, key-cases, cigarette-cases, tobacco-pouches and similar articles of a kind ...",115,117,155,197,178,311,184,177,159,355,,326,177,126,107,87,108,233,116,108,137,,6063,9061,10701,10298,14198,25083,30377,35737,55010,49538
620461,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of wool or fine animal ...",203,139,139,267,381,339,319,473,280,354,,1484,1321,1574,2254,2321,2628,2667,2707,2102,1848,,6398,5680,6208,9047,12130,10703,11547,12572,10564,11253
381700,Mixed alkylbenzenes and mixed alkylnaphthalenes produced by the alkylation of benzene and naphthalene ...,95,29364,366,6562,7738,7502,322,341,257,353,,37634,27224,29418,34018,31374,23796,24333,10833,3772,1069,,60856,142122,55146,54646,86459,84684,65340,62108,41421,59572
482290,"Bobbins, spools, cops and similar supports of paper pulp, paper or paperboard, whether or not ...",466,557,637,540,589,908,545,662,593,353,,1214,1106,1385,1466,1766,2126,1906,1800,1565,2419,,703,1032,1287,1073,1094,1582,1172,1210,1307,1360
591131,"Textile fabrics and felts, endless or fitted with linking devices, of a kind used in papermaking ...",614,873,1012,552,277,188,115,120,203,353,,8843,8161,7555,6729,6658,6380,6100,5748,4501,6064,,5023,6026,7132,5995,6131,7770,7621,7681,7873,8635
441239,"Plywood consisting solely of sheets of wood <= 6 mm thick (excluding of bamboo, plywood of ...",7,21,44,99,253,121,280,316,244,353,,881,961,1139,15436,39321,48600,55970,51220,46435,62433,,13002,13801,111420,120341,78992,57651,41500,29842,28503,37676
600642,"Dyed fabrics, knitted or crocheted, of artificial fibres, of a width of > 30 cm (excluding ...""",1394,589,604,694,804,498,437,603,275,352,,23678,16727,13803,10553,10885,10613,9006,8758,6192,4531,,2934,2107,1457,2073,1467,1312,954,995,691,693
291631,"Benzoic acid, its salts and esters (excluding inorganic or organic compounds of mercury)",1202,668,224,159,276,187,160,263,256,352,,3003,2930,2754,2948,3369,3574,5098,3096,3329,5059,,18981,17124,15948,15144,15274,15618,15241,16991,16548,18288
30285,"Fresh or chilled sea bream """"Sparidae""""""""",477,780,1052,1066,1115,920,679,591,348,351,,1333,1530,2384,3620,4855,6526,9286,10398,9655,11110,,478,793,1149,1066,1115,920,679,594,348,351
901790,"Parts and accessories for drawing, marking-out or mathematical calculating instruments and ...",623,465,281,342,300,431,522,554,420,351,,18751,18599,19049,14929,16279,16850,18232,17183,14004,15555,,2369,2042,1619,1387,1943,2538,2181,1861,1788,2225
320413,Basic synthetic organic dyes; preparations based on basic synthetic organic dyes of a kind ...,916,1350,670,180,224,401,419,429,291,347,,13973,11904,12698,12349,12061,13603,13269,11133,8761,10695,,6156,8760,9211,8226,8730,7967,11308,9368,7551,9719
390931,"Poly""""methylene phenyl isocyanate"""" """"crude MDI, polymeric MDI"""", in primary forms""""",0,0,0,0,0,2011,644,163,357,347,,0,0,0,0,0,485123,399600,276854,273021,385068,,0,0,0,0,0,125405,147672,113143,107731,182940
611019,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of fine animal hair, knitted ...""",45,64,19,53,67,64,112,57,206,346,,276,253,437,246,279,257,291,494,382,577,,12573,9606,5816,5051,4324,5906,9656,12756,10387,11793
847910,"Machinery for public works, building or the like, n.e.s.",77,616,546,386,722,1837,3371,637,757,346,,26775,22734,27523,35322,39175,35453,40168,47052,35552,31781,,22284,16230,33205,9196,34998,44560,29850,28546,18822,29260
210500,"Ice cream and other edible ice, whether or not containing cocoa",35,9,531,304,275,2977,1592,1562,289,346,,8512,8816,15003,16597,21796,29032,32410,36912,42736,51018,,18375,22385,26804,26443,29935,35015,38533,37827,44988,51811
846591,"Sawing machines for working wood, cork, bone, hard rubber, hard plastics or similar hard materials ...",2194,1238,2947,2362,2317,589,449,409,334,345,,12810,6050,7646,5043,8157,6515,6418,6792,6314,7465,,6782,6665,11270,11649,14007,13722,15312,11079,15212,17960
611510,"Graduated compression hosiery [e.g., stockings for varicose veins], of textile materials, knitted ...",142,95,444,235,314,672,953,857,239,345,,1844,4395,2179,2659,3151,2559,2227,8537,3705,4092,,5295,8341,7604,4812,5539,7691,8477,8753,10539,12423
810194,"Unwrought tungsten, incl. bars and rods of tungsten obtained simply by sintering",339,324,298,206,175,292,284,289,266,345,,1442,399,1259,616,565,980,1173,1368,1976,2332,,1901,3459,3376,4103,3179,6436,6197,6172,5443,6155
853530,"Isolating switches and make-and-break switches, for a voltage > 1.000 V",40,38,271,302,89,354,81,181,345,344,,105654,77080,108547,130071,133369,130305,87428,121801,100765,142507,,9577,35865,34841,29305,17018,16248,15832,23523,11685,9817
611596,"Full-length or knee-length stockings, socks and other hosiery, incl. footwear without applied ...",498,319,340,370,370,717,392,342,201,343,,4562,3860,4064,4163,4852,4984,4890,5101,3463,6065,,11174,14524,20433,18253,19523,23660,24105,25349,22473,25679
720390,"Spongy ferrous products, obtained from molten pig iron by atomisation, iron of a purity of ...",1038,867,16,12,8,0,0,0,0,342,,4912,4495,5576,5077,3486,4012,5560,6125,2703,1775,,2062,1987,1013,787,547,381,943,868,778,1429
852352,"Cards incorporating one or more electronic integrated circuits """"smart cards""""""""",8347,12508,13122,14863,15947,14059,12301,11912,8003,342,,66848,71117,82492,80602,86776,108631,165065,111503,150497,114730,,73120,104684,148613,101417,107569,104306,96586,78839,80002,59133
871310,"Carriages for disabled persons, not mechanically propelled",639,508,380,442,538,624,551,464,467,341,,1703,1213,1831,3296,1304,1285,1168,1185,720,689,,5939,6277,6551,6500,7254,7908,7876,8774,8125,8488
340120,"Soap in the form of flakes, granules, powder, paste or in aqueous solution",613,416,428,195,186,273,353,645,443,340,,24161,10185,9248,9700,14979,16622,25082,21134,36433,41786,,33913,32270,37347,30328,30348,33349,26897,22994,21813,27997
180632,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg (excluding ...",914,678,659,611,759,634,737,684,308,339,,25960,26075,33389,37979,44751,40362,44437,42357,41863,59418,,11290,14740,12021,13819,35104,38023,36050,37688,43002,48507
550490,"Artificial staple fibres, not carded, combed or otherwise processed for spinning (excluding ...",25,40,125,285,119,48,10,1,77,338,,7481,7499,8423,8345,5449,5378,5554,3534,3147,4196,,42480,12456,10267,9390,14964,10257,11022,13111,12928,10088
621210,"Brassieres of all types of textile materials, whether or not elasticated, incl. knitted or ...",4480,1580,1471,1890,2112,659,767,146,302,337,,12530,10576,8442,7126,7707,7120,8992,7693,6125,5921,,83840,103316,115342,145006,171997,188397,208140,214307,199734,210103
482090,"Blotting pads and similar articles of stationery, of paper and paperboard, and book covers ...",384,191,216,188,212,279,364,474,563,337,,2259,2059,1961,2070,1122,671,1461,1039,819,1491,,2299,2300,2855,2219,2133,2278,2807,3057,2483,2640
294130,Tetracyclines and their derivatives; salts thereof,0,0,329,1082,681,668,156,148,246,337,,0,2,4,0,6,0,43,52,3,102,,4631,5684,5301,5934,7168,5432,7042,6834,6151,11095
846592,"Planing, milling or moulding -by cutting- machines, for working wood, cork, bone, hard rubber, ...",184,511,265,1520,1123,834,250,1263,392,337,,10952,9730,10864,8914,6719,4778,8098,6639,6366,5601,,2498,5844,6802,8031,6579,7292,6793,8026,4455,4540
640319,"Sports footwear, with outer soles of rubber, plastics, leather or composition leather and uppers ...",1334,773,1160,259,363,183,541,459,333,336,,3151,2646,1919,1373,763,902,2175,2499,1759,1843,,40668,35232,43047,36090,31276,28322,34226,35055,25693,34264
730722,"Threaded elbows, bends and sleeves of stainless steel (excluding cast products)",328,763,265,704,630,259,260,409,860,336,,9595,8196,8346,8903,10411,11607,11078,8019,8702,10353,,17926,37805,42398,27060,18614,17094,13574,14640,15312,15378
152190,"Beeswax, other insect waxes and spermaceti, whether or not refined or coloured",587,515,536,328,361,418,335,365,179,336,,1912,1725,2058,1597,1648,1861,1917,2059,1126,1278,,2091,1612,2226,2289,2333,2673,3087,2382,3102,3698
845510,Mills for rolling metal tubes,13011,4329,2937,0,267,0,1543,1685,582,333,,49391,40574,8947,13785,22651,7889,9705,8924,9505,6815,,41722,8588,6228,12243,8332,3479,3220,4001,3179,4904
130239,"Mucilages and thickeners derived from vegetable products, whether or not modified (excluding ...",576,568,755,403,424,351,418,396,315,332,,1419,1001,1591,1880,1354,1339,1140,1408,1523,1711,,6575,11798,12763,11931,9734,12105,14954,16021,18842,22076
160559,"Molluscs, prepared or preserved (excluding smoked, oysters, scallops, mussels, cuttle fish, ...",115,692,943,1384,1738,2181,1839,1494,627,332,,52251,34641,30423,30993,84875,77134,125282,98198,85115,70317,,83126,99698,123357,120021,105330,111838,106982,108481,103945,90513
840490,Parts of auxiliary plant of heading 8402 or 8403 and condensers for steam or other vapour power ...,5047,83101,149043,20117,10111,8368,2305,882,289,331,,62133,27671,101026,53648,40588,91528,130076,141706,29464,83269,,11744,105303,168330,38903,18217,15475,6697,10561,8744,8624
845221,"Automatic sewing machines, industrial type",1517,853,2193,1290,1300,3012,2060,1474,1298,331,,128420,117877,137503,119870,134216,112403,138877,104168,28293,49335,,4241,3884,7189,6144,9204,17375,14612,15837,16178,20536
160561,"Sea cucumbers, prepared or preserved (excluding smoked)",455,191,83,199,72,154,188,394,536,330,,241252,231825,196012,179245,167528,184924,190867,190617,170428,141436,,13256,11345,12643,11367,10813,13074,12309,10965,10770,11886
621320,"Handkerchiefs of cotton, of which no side exceeds 60 cm (excluding knitted or crocheted)",145,169,242,210,212,145,143,116,158,330,,1793,1353,1339,1230,1341,1089,1160,1204,1157,962,,972,1224,1308,1438,1792,1572,1623,1584,1077,1275
820160,"Hedge shears, two-handed pruning shears and similar two-handed shears, with working parts of ...",420,546,646,747,647,516,324,495,321,329,,3244,2392,2754,3078,3677,3821,3777,3844,3740,4214,,870,1016,1407,1733,1647,1457,1376,1493,1118,1175
940350,Wooden furniture for bedrooms (excluding seats),49,14,161,34,59,90,96,53,74,329,,468,183,400,286,658,944,848,830,702,809,,92360,98336,118211,137664,133843,128722,129610,145842,159447,167169
900651,"Cameras with a through-the-lens viewfinder [single lens reflex """"SLR""""] for roll film of a ...""",82,28,36,73,78,58,161,51,109,328,,1062,1122,1142,1702,804,751,786,445,1603,2551,,246,299,270,165,132,146,207,279,407,591
820600,"Sets of two or more tools of heading 8202 to 8205, put up in sets for retail sale",4384,2645,1084,728,1144,1208,794,761,424,327,,7659,8627,7529,6419,8246,7386,7164,10267,5744,3950,,11924,12186,12556,7961,8164,10688,8441,8311,8889,10653
293729,"Steroidal hormones, their derivatives and structural analogues, used primarily as hormones ...""",325,0,2,113,418,198,293,174,253,326,,1509,539,584,674,600,467,1509,1544,1018,489,,6637,6471,6478,6904,7647,7090,9739,11016,11090,12341
961220,"Ink-pads, whether or not inked, with or without boxes",254,365,139,187,196,149,152,227,260,325,,4624,3391,3420,4146,3627,3888,3859,3547,3101,3527,,607,625,382,423,640,744,614,730,894,1059
151620,"Vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, ...",657,449,502,457,521,456,339,332,325,325,,3883,4001,3594,4287,3687,5048,4956,6254,2828,6284,,17850,16633,19522,20034,23298,27599,30302,30610,28835,45169
482370,"Moulded or pressed articles of paper pulp, n.e.s.",310,293,343,400,374,436,373,481,321,324,,2924,4115,4538,4232,4864,4634,4842,4269,2946,4048,,1459,1293,1184,1372,1155,1566,1740,1899,3259,4138
853223,"Fixed electrical capacitors, ceramic dielectric, single layer (excluding power capacitors)",12453,7202,4930,1382,886,424,437,450,273,323,,55625,36517,19861,14965,13443,15062,23122,26820,32678,27038,,26667,22460,24255,17668,16588,14201,14726,11092,10489,11087
511220,"Woven fabrics containing predominantly, but < 85% combed wool or combed fine animal hair by ...",195,186,264,414,359,214,261,252,198,322,,14940,11088,8744,7807,7163,6018,5862,5813,2888,2136,,2086,1799,2452,1992,1466,2466,3084,3776,2763,2801
850422,"Liquid dielectric transformers, having a power handling capacity > 650 kVA but <= 10.000 kVA",209,28,30,127,275,2,165,135,176,322,,46817,37734,31679,26037,23884,25011,25719,17585,12256,16389,,6304,24790,18603,12936,4060,3994,7432,1298,1210,681
901811,Electro-cardiographs,1170,336,410,542,447,371,243,345,211,322,,27536,23502,21024,19429,14991,16198,14758,12920,13271,12529,,12645,9883,6680,5627,6393,6882,6814,7230,7934,10041
920890,"Fairground organs, mechanical street organs, mechanical singing birds, musical saws and other ...",52,76,104,102,188,74,121,194,119,322,,181,323,260,345,320,434,620,521,453,538,,1074,1210,1409,1152,1326,1232,1312,1416,2194,3195
283311,Disodium sulphate,144,126,183,259,315,280,322,359,780,322,,4673,2238,2336,2781,2903,2765,3075,2650,2806,3073,,15534,16370,14554,12247,12504,13537,14715,13392,10311,12921
291613,Methacrylic acid and its salts,4016,3013,4169,3666,4703,7713,3904,2208,650,321,,24572,25537,20252,15024,15128,24783,26514,15365,11776,12971,,7895,7669,7927,6411,7117,9722,7352,4029,1753,1608
401695,"Inflatable mattresses and cushions and other inflatable articles, of vulcanised rubber (excluding ...",666,615,320,496,1050,249,205,177,170,321,,16111,19231,22859,14463,16959,17489,17613,14386,13152,15946,,3919,5229,5255,29044,3848,3365,2422,2244,3018,2892
290920,"Cyclanic, cyclenic or cycloterpenic ethers and their halogenated, sulphonated, nitrated or ...",37,314,209,28,41,118,314,324,235,321,,475,905,677,910,583,10536,21973,19715,7509,7964,,1205,1313,1202,807,1027,1153,1579,1074,1766,1229
370310,"Photographic paper, paperboard and textiles, sensitised, unexposed, in rolls > 610 mm wide",874,3017,1746,1203,1851,871,264,416,328,320,,25572,3749,2313,2409,6115,6247,3779,2907,1390,1481,,12868,10960,3854,2216,2996,2244,991,761,826,976
480256,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",67,34,67,711,157,339,262,130,149,320,,6165,3121,3726,3713,3354,3437,3257,3331,3093,2851,,59790,66020,73870,78317,73101,98726,132807,117595,84915,95240
400922,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",173,358,1751,396,611,95,468,417,658,319,,15050,29575,13258,10915,16941,15419,18473,20246,16067,21371,,5594,11221,14081,6371,5760,7416,6329,5369,6373,10545
842549,"Jacks and hoists of a kind used for raising vehicles, not hydraulic",580,918,502,352,405,463,387,269,450,318,,17157,16111,13110,14783,13267,12526,14288,14894,12773,11869,,12525,13574,6854,26422,10726,9768,9095,10025,13958,12951
691190,"Household and toilet articles, of porcelain or china (excluding tableware and kitchenware, ...",27,24,79,97,69,111,163,421,108,318,,487,883,1661,1099,1493,1576,1458,1331,1153,1578,,1511,2607,2649,1634,1564,1760,1946,2644,2632,4340
600535,"Warp knit fabrics of synthetic fibres, antimalarial, of a width of > 30 cm",0,0,0,0,0,889,609,570,338,318,,0,0,0,0,0,0,48,39,31,13,,0,0,0,0,0,5763,4989,5753,3911,3745
620530,"Men's or boys' shirts of man-made fibres (excluding knitted or crocheted, nightshirts, singlets ...",284,123,144,127,249,325,356,391,285,317,,384,452,796,744,1498,1545,1386,2213,2720,3499,,36296,41679,45772,50363,49499,50464,58000,67817,62794,63214
560819,"Knotted netting of twine, cordage, ropes or cables, by the piece or metre; made-up nets, of ...",226,284,224,176,315,324,255,226,162,316,,45871,47117,42597,38635,49041,55970,60480,59008,46928,45563,,8495,9458,13977,15211,10784,11523,15421,14308,18553,20023
310290,Mineral or chemical nitrogen fertilisers (excluding urea; ammonium sulphate; ammonium nitrate; ...,980,579,810,852,575,517,310,288,293,315,,2073,2066,1611,3713,8952,14472,12842,13605,5636,5199,,2325,1916,1983,2342,1782,1784,1717,1698,1849,1770
610433,"Women's or girls' jackets and blazers of synthetic fibres, knitted or crocheted (excluding ...",74,75,121,172,134,275,173,178,84,312,,344,434,244,262,407,286,159,435,243,559,,6225,8411,7388,7967,9795,6482,8338,12094,10395,11650
382312,"Oleic acid, industrial",327,233,273,207,278,256,254,215,261,312,,4070,6555,6099,3710,3826,5992,4784,4533,4867,6600,,30891,32124,32990,26434,26895,28594,26215,21883,25326,43473
620449,"Women's or girls' dresses of textile materials (excluding of wool, fine animal hair, cotton ...",124,109,92,158,167,150,161,188,290,311,,1293,920,1070,1031,1067,872,929,1269,968,652,,19325,18341,20147,19403,20100,22019,25200,26531,25819,28964
170410,"Chewing gum, whether or not sugar-coated",665,305,384,273,283,444,274,200,310,311,,8917,7690,8637,8523,8402,7058,6237,5746,5794,8758,,2065,1356,1845,1174,2037,2313,3622,2288,2599,2489
570292,"Carpets and other floor coverings, of man-made textile materials, woven, not tufted or flocked, ...",318,200,89,172,77,127,80,144,31,310,,59,30,479,555,610,819,815,363,98,169,,915,686,843,1169,2088,2819,3166,4039,2639,4541
611430,"Special garments for professional, sporting or other purposes, n.e.s., of man-made fibres, ...",171,47,66,105,185,207,216,219,315,310,,3152,2061,2223,2159,2502,2774,2618,3400,2485,3254,,53638,89572,133897,160703,152220,125914,129750,162074,183015,200612
560600,"Gimped yarn, gimped strip and the like of heading 5404 or 5405; chenille yarn, incl. flock ...",46,32,26,42,47,44,69,149,176,309,,13786,9972,7781,6741,9721,9482,9622,8608,8482,11418,,2022,2644,3775,5697,6526,5655,7495,10888,10748,16769
871420,"Parts and accessories for carriages for disabled persons, n.e.s.",147,163,179,241,241,847,630,162,344,309,,4538,4160,4192,5082,6071,7721,4764,9359,9910,10675,,2850,3415,4573,4902,4670,6770,6710,7091,6790,6641
681381,"Brake linings and pads, with a basis of mineral substances or cellulose, whether or not combined ...",3130,272,213,336,233,207,273,268,305,309,,361913,343796,338191,296570,281063,267899,238975,242598,201175,259700,,21925,3568,4237,3026,3537,4448,3762,3237,2535,4709
550390,"Synthetic staple fibres, not carded, combed or otherwise processed for spinning (excluding ...",124,321,246,239,284,282,173,211,799,309,,169290,170784,180453,154903,131323,125006,143933,140159,116654,122319,,2348,2427,2186,3076,1448,1319,1351,1327,2699,2873
560129,Wadding of textile materials and articles thereof (excluding of cotton or man-made fibres; ...,302,248,286,202,261,225,234,301,246,308,,99,69,36,158,334,905,2700,1190,1099,755,,1011,533,567,413,489,416,426,746,561,719
610453,"Women's or girls' skirts and divided skirts of synthetic fibres, knitted or crocheted (excluding ...",157,121,63,174,205,252,291,256,269,307,,770,551,626,708,985,1327,1425,1846,1972,1476,,5100,6336,8878,10214,10471,10814,12941,12222,9837,9690
620452,Women's or girls' skirts and divided skirts of cotton (excluding knitted or crocheted and  ...,383,146,176,164,245,335,392,379,322,307,,2599,1649,2350,2844,2655,2470,2719,2746,3219,5024,,13669,13492,16437,19893,23268,27793,29027,27758,21472,22250
382000,Anti-freezing preparations and prepared de-icing fluids (excluding prepared additives for mineral ...,201,143,119,138,282,1457,2529,174,215,307,,21219,17937,16661,11315,13952,15087,18686,14848,14126,17957,,4286,10772,4788,4594,6686,6472,10759,6393,4948,9083
810420,"Magnesium waste and scrap (excluding ash and residues containing magnesium, and raspings, turnings ...",0,0,0,0,183,138,0,6,0,307,,436,649,100,331,397,131,150,89,167,126,,5,23,102,20,662,1265,1123,1166,1107,3206
620292,"Women's or girls' anoraks, windcheaters, wind jackets and similar articles, of cotton (not ...",103,51,69,49,113,108,218,180,151,306,,365,511,593,670,898,773,895,1019,1294,2231,,46640,37724,35183,34319,30154,24071,26730,20935,19539,21896
30354,"Frozen mackerel """"Scomber scombrus, Scomber australasicus, Scomber japonicus""""""""",4265,629,53,314,15,13,95,0,148,305,,112732,121457,107655,147187,165647,194818,240689,188668,190835,200425,,61248,35605,70918,91422,72688,74031,71442,81212,85535,103808
830890,"Clasps, frames with clasps without locks, buckles and buckle-clasps, of base metal, for clothing, ...",258,201,135,88,96,169,271,196,255,303,,19140,15863,12319,12476,10897,13178,13040,12757,9577,7376,,12136,14499,16568,15696,17490,22308,20930,18873,14659,19461
847439,"Machinery for mixing or kneading solid mineral substances, incl. those in powder or paste form ...",116,72,21,265,1083,16,1017,409,553,303,,24981,11686,9430,8501,10743,6051,8212,7891,6108,5877,,13283,13244,10806,11727,8440,7147,19452,11305,6379,14532
400931,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",517,247,55,34,33,236,1270,831,586,303,,293707,266124,224241,185711,177525,185192,194107,181569,149653,191203,,27569,20149,22154,20825,17214,13743,14604,12647,12150,12690
850410,Ballasts for discharge lamps or tubes,1255,1580,1117,641,1074,800,396,228,399,302,,141579,135136,120869,61632,40397,23666,19145,13825,7644,7467,,36129,46970,57782,43474,34786,37843,19440,14930,14948,12477
380120,Colloidal or semi-colloidal graphite,316,207,202,160,226,204,202,116,330,302,,3120,2953,3502,5062,4719,4558,4761,3951,4206,4648,,1660,1741,1660,1710,2032,2783,2797,1745,1088,1491
610510,"Men's or boys' shirts of cotton, knitted or crocheted (excluding nightshirts, T-shirts, singlets ...",2336,1227,1470,1400,1524,1021,901,487,737,301,,13249,10082,10058,9064,9691,7491,7340,6454,6104,5647,,65242,79643,75348,64350,52646,45941,54717,55615,53764,53392
841710,"Industrial or laboratory furnaces and ovens, non-electric, for the roasting, melting or other ...",10604,2205,11285,354,174,697,90,92,1,299,,137459,104855,99794,62829,69960,56792,76919,62618,32476,34028,,38255,15750,48012,9122,11394,3124,7861,6329,1792,11729
30251,"Fresh or chilled cod """"Gadus morhua, Gadus ogac, Gadus macrocephalus""""""""",152,4,0,26,315,1445,557,60,221,299,,143,3,0,24,242,1337,512,59,186,221,,1945,2899,1979,1768,1269,2106,2131,1450,1363,789
853661,Lamp holders for a voltage <= 1.000 V,630,338,147,49,121,187,92,144,243,299,,2923,3509,4652,3694,6707,7941,11351,12465,12461,13680,,5367,3647,4173,2909,3053,3303,2944,3536,2191,2529
283010,Sodium sulphides,453,296,436,139,131,213,882,973,501,299,,1444,1239,951,628,681,453,1113,1318,745,719,,9358,9336,8998,7431,7030,6731,8749,8654,6404,9569
842320,Scales for continuous weighing of goods on conveyors,2911,1996,2172,2475,3704,3483,2322,1797,318,299,,26628,24197,23964,20497,24221,26362,28152,27635,26598,31073,,11541,10967,7929,7014,8123,7214,5932,2841,2890,1617
847979,Passenger boarding bridges (excluding of a kind used in airports),17,0,1,221,46,217,5,44,905,299,,16,1229,44,16,124,70,6,0,233,0,,234,268,91,696,54,2129,8,45,1193,319
482340,"Rolls, sheets and dials, printed for self-recording apparatus, in rolls of a width <= 36 cm, ...",296,203,86,85,363,247,353,210,223,299,,4277,3532,3006,2997,2437,2634,2872,2576,2197,2938,,432,433,983,341,925,705,1222,749,843,983
860730,"Hooks and other coupling devices, buffers, and parts thereof, for railway or tramway locomotives ...",80,528,16,280,746,1854,1414,492,582,299,,24034,23036,46464,25057,29112,14873,18152,15784,12492,11687,,12549,16466,16327,16398,6524,7885,13384,15828,13364,16781
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,780,1099,628,549,1012,669,800,459,277,297,,12392,9054,10240,11354,14212,13081,14538,12910,18532,21066,,386000,427866,448339,477380,450919,532919,628633,663490,576536,646430
850421,"Liquid dielectric transformers, having a power handling capacity <= 650 kVA",760,3609,3768,7247,3339,635,167,43,311,296,,8012,3508,6216,1821,2299,2520,2167,3090,2441,2204,,5884,19275,18277,19790,10453,5469,4597,5457,5482,9000
732490,"Sanitary ware, incl. parts thereof (excluding cans, boxes and similar containers of heading ...",220,131,315,362,613,224,314,228,254,296,,2492,2128,2512,1759,1851,2757,6066,3979,3974,11761,,15559,20735,22863,25885,21058,24087,28080,29964,33270,40374
550941,"Single yarn containing >= 85% synthetic staple fibres by weight (excluding sewing thread, yarn ...",736,650,974,701,2837,724,582,424,423,294,,4562,4597,5037,4759,4516,2626,3126,2902,2917,2174,,6232,7504,7859,4890,4019,1296,1482,1386,1311,1289
610610,"Women's or girls' blouses, shirts and shirt-blouses of cotton, knitted or crocheted (excluding ...",815,794,1151,903,1042,658,581,589,395,293,,3943,3003,3906,3900,4374,3052,2591,3352,4496,3287,,30511,29954,22552,24018,17320,16542,16854,16475,17665,16350
280910,Diphosphorus pentaoxide,65,243,170,164,176,225,126,133,132,292,,411,480,601,364,298,290,224,172,205,474,,1145,1070,1348,983,1251,1352,1478,1145,1206,2032
281410,Anhydrous ammonia,682,566,3767,557,561,524,351,160,272,292,,1431,1103,1033,1000,1084,913,1097,2726,1718,1445,,752848,731863,667238,505927,396205,407383,478852,398143,331333,746305
850730,Nickel-cadmium accumulators (excluding spent),759,288,863,282,600,164,134,392,140,289,,147510,98381,52449,48580,27719,20940,17685,16174,12941,10515,,15982,18514,18506,11239,14581,14073,14529,12841,14691,18878
841090,Parts of hydraulic turbines and water wheels incl. regulators,13192,7656,2334,1285,425,421,410,449,251,289,,25203,33255,45069,15003,12604,36524,17478,19437,4694,1057,,16120,9296,4262,2606,1457,5349,9145,10569,4401,425
391733,"Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other ...",162,318,268,499,400,594,502,587,485,289,,17266,16174,11071,10898,16673,18574,20333,23763,23981,26204,,7265,6344,5183,5845,6449,10937,17762,13690,20442,28118
846231,"Shearing machines, incl. presses, numerically controlled, for working metal (other than combined ...",413,115,1295,55,1303,502,1041,269,715,289,,32292,19757,21998,14988,8532,10214,14777,11802,13623,7048,,1349,200,2509,1079,4007,1611,1546,1255,1130,785
551612,"Woven fabrics containing >= 85% artificial staple fibres by weight, dyed",340,265,259,125,146,176,261,302,339,287,,1762,1467,1406,1282,1547,1483,1105,1529,1305,1133,,1069,1069,924,763,1057,1661,2617,1493,3872,3108
283531,"Sodium triphosphate """"sodium tripolyphosphate"""", whether or not chemically defined""""",321,239,264,201,149,146,233,263,295,286,,680,653,514,390,415,386,484,490,547,544,,7047,7069,6092,5562,5518,5651,5601,5553,5226,7525
340119,"Soap and organic surface-active products and preparations, in the form of bars, cakes, moulded ...",1132,1161,1207,1123,1543,972,1073,707,535,286,,11665,11053,14164,16546,19148,21158,22973,19524,20563,16750,,7394,7333,7696,7943,8804,10124,8421,8314,6154,7326
843110,"Parts of pulley tackles and hoists (other than skip hoists), winches, capstans and jacks, n.e.s.",761,2535,2765,7592,229,392,473,1169,1019,286,,33497,29469,24657,21207,21019,27077,40970,21892,20212,21075,,52936,50317,69150,97492,68541,30310,30714,34479,39217,30998
