Product code,Product label,Saudi Arabia's imports from United States of America-Value in 2012,Saudi Arabia's imports from United States of America-Value in 2013,Saudi Arabia's imports from United States of America-Value in 2014,Saudi Arabia's imports from United States of America-Value in 2015,Saudi Arabia's imports from United States of America-Value in 2016,Saudi Arabia's imports from United States of America-Value in 2017,Saudi Arabia's imports from United States of America-Value in 2018,Saudi Arabia's imports from United States of America-Value in 2019,Saudi Arabia's imports from United States of America-Value in 2020,Saudi Arabia's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
310250,"Sodium nitrate (excluding that in pellet or similar forms, or in packages with a gross weight ...",0,0,0,0,0,0,0,0,0,0,,4808,6534,6385,7470,5506,5525,5911,5901,5893,7596,,466,518,1055,1083,1394,250,350,541,515,521
310530,"Diammonium hydrogenorthophosphate """"diammonium phosphate"""" (excluding that in tablets or similar ...""",0,0,0,0,0,0,0,0,0,0,,1747239,1396363,1095291,943378,586195,536000,396504,414834,260687,241203,,589,301,435,329,224,138,140,0,106,0
300310,"Medicaments containing penicillins or derivatives thereof with a penicillanic acid structure, ...",20158,0,0,0,515,0,0,0,102,0,,14005,8969,6784,3843,6464,14047,14414,8518,5614,6412,,123979,99282,117626,136540,65405,9262,1980,8775,66327,36187
300340,"Medicaments containing alkaloids or derivatives thereof, not containing hormones, steroids ...",0,56,45,0,0,0,0,131,5,0,,10543,9619,15633,16180,11459,0,0,0,0,0,,367,2277,89,27,326,10,103,308,1677,243
293750,"Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues, ...",0,0,0,115,0,0,0,0,0,0,,63961,28529,242710,326365,303424,144190,113390,123229,125839,88404,,0,0,0,115,0,0,0,142,0,0
293810,"Rutoside """"rutin"""" and its derivatives""""",0,0,0,0,0,0,0,0,0,0,,1130,6050,2825,183,138,331,39,288,182,336,,0,415,113,0,0,13,0,0,0,0
293949,"Alkaloids of ephedra and their derivatives; salts thereof (excl. ephedrine, pseudoephedrine ...""",0,0,0,0,0,0,0,0,0,0,,0,6,3,14,35,0,0,256,8,45,,0,0,29,217,170,283,176,282,334,239
293959,"Theophylline and aminophylline """"theophylline-ethylenediamine"""" and their derivatives, and ...""",0,34,0,0,0,0,0,0,0,0,,480,412,277,235,313,339,239,191,418,183,,0,34,46,0,28,52,19,0,0,0
293962,"Ergotamine """"INN"""" and its salts""""",0,0,0,0,0,0,0,0,0,0,,0,4,0,9,17,7,8,37,30,36,,0,0,0,0,4,0,0,0,0,0
293999,"Vegetable alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and ...""",0,0,0,117,0,0,0,0,0,0,,9120,5729,8448,141758,7011,0,0,0,0,0,,238,1192,965,2911,2198,35,64,0,17,2
