Product code,Product label,"Taipei, Chinese's imports from Saudi Arabia-Value in 2012","Taipei, Chinese's imports from Saudi Arabia-Value in 2013","Taipei, Chinese's imports from Saudi Arabia-Value in 2014","Taipei, Chinese's imports from Saudi Arabia-Value in 2015","Taipei, Chinese's imports from Saudi Arabia-Value in 2016","Taipei, Chinese's imports from Saudi Arabia-Value in 2017","Taipei, Chinese's imports from Saudi Arabia-Value in 2018","Taipei, Chinese's imports from Saudi Arabia-Value in 2019","Taipei, Chinese's imports from Saudi Arabia-Value in 2020","Taipei, Chinese's imports from Saudi Arabia-Value in 2021",Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
280480,Arsenic,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,477,440,1827,312,353,374,486,340,429,370
280530,"Rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,1570,505,309,379,171,188,308,158,129,96
280800,Nitric acid; sulphonitric acids,0,0,0,0,0,0,0,0,0,0,,11108,7790,7330,1969,5448,3944,4684,1567,568,147,,9536,14448,10042,9056,9122,10450,10784,9945,6525,9213
280910,Diphosphorus pentaoxide,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,805,1100,1321,957,815,582,564,409,481,806
281121,Carbon dioxide,0,0,0,0,0,0,0,0,0,0,,229,1119,1427,165,254,511,1033,1826,2033,2484,,1130,1960,4046,2226,1682,1745,1815,2514,8787,9492
281390,Sulphides of non-metals (excluding carbon disulphide); commercial phosphorus trisulphide,0,0,0,0,0,0,0,0,0,0,,0,0,66,0,0,0,0,0,0,0,,39,71,121,247,338,645,762,442,812,994
390940,"Phenolic resins, in primary forms",0,0,0,0,0,0,0,0,0,0,,10173,12543,13325,16762,122,263,275,578,0,0,,60689,58780,52204,37440,38715,43831,48396,50805,57526,75470
391211,"Non-plasticised cellulose acetates, in primary forms",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,19,0,9,0,0,0,,280,134,42,911,1826,2451,2255,2449,2031,2412
391310,"Alginic acid, its salts and esters, in primary forms",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,16,0,0,0,0,,4034,2885,3105,2552,2440,2292,2875,3138,3132,3865
391723,"Rigid tubes, pipes and hoses, of polymers of vinyl chloride",0,0,0,0,0,0,0,0,0,0,,2693,1080,802,435,450,1171,1683,1353,2365,4009,,626,607,622,1225,873,904,882,666,919,1139
391729,"Rigid tubes, pipes and hoses, of plastics (excluding those of polymers of ethylene, propylene ...",0,0,0,0,0,0,0,0,0,0,,9046,11257,5735,7457,7635,2499,6949,6943,7438,13624,,5158,6509,5421,3715,8001,6257,7686,7162,11053,22317
391731,"Flexible tubes, pipes and hoses, of plastics, burst pressure >= 27,6 MPa",0,0,0,0,0,0,0,0,0,0,,46105,38948,31527,26275,24742,14269,25057,28405,29981,52321,,2503,3680,3230,3237,3839,4286,4604,4043,6827,10129
391890,"Floor coverings of plastics, whether or not self-adhesive, in rolls or in the form of tiles, ...",0,0,0,0,0,0,0,0,0,0,,3293,12414,9564,5641,1813,1500,1713,1624,1229,1603,,4784,5334,6550,7111,7675,7896,9699,12439,17784,26796
392049,"Plates, sheets, film, foil and strip, of non-cellular polymers of vinyl chloride, containing ...",0,0,0,0,0,0,0,0,0,0,,11394,4629,2817,5699,30507,27540,34244,30743,27942,17000,,29874,30576,36042,33106,36084,43710,43932,42134,48746,72098
392051,"Plates, sheets, film, foil and strip, of non-cellular poly""""methyl methacrylate"""", not reinforced, ...""",0,0,0,0,0,0,0,0,0,0,,0,51,61,135,394,831,859,4701,620,1069,,27206,20232,26442,31477,51639,37261,44081,55839,63168,69434
392069,"Plates, sheets, film, foil and strip, of non-cellular polyesters, not reinforced, laminated, ...",0,0,0,0,0,0,0,0,0,0,,3727,5026,10351,28234,28893,23394,25287,23696,7265,3994,,317815,316113,264992,208014,162265,163645,166418,151796,173042,223744
392111,"Plates, sheets, film, foil and strip, of cellular polymers of styrene, unworked or merely surface-worked ...",41,200,80,0,0,0,0,0,0,0,,4265,5603,6594,3082,1506,513,697,326,1308,5838,,3839,2361,2432,2254,2080,2293,2600,2542,2033,2015
392210,"Baths, shower-baths, sinks and washbasins, of plastics",0,0,0,0,0,0,0,0,0,0,,28,98,66,243,207,219,236,105,48,138,,4050,4649,5948,6025,4660,4540,5296,4831,5337,5661
400121,Smoked sheets of natural rubber,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,27,0,0,,55279,81260,65764,54781,51694,76863,54772,61194,56741,55364
400700,Vulcanised rubber thread and cord (excluding ungimped single thread with a diameter of > 5 ...,0,0,0,0,0,0,0,0,0,0,,0,0,0,11,30,0,0,0,0,88,,12256,11082,8867,7748,6269,7234,7553,6155,6286,9545
400941,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,45,94,37,37,7,0,0,,5410,6218,4741,5037,4650,4565,6106,4092,5661,4071
401031,"Endless transmission belts of trapezoidal cross-section """"V-belts"""", of vulcanised rubber, ...""",0,0,0,0,0,0,0,0,0,0,,39,0,51,42,67,24,150,0,0,0,,5941,6800,7394,6289,6753,6434,6151,5203,5333,6007
401140,"New pneumatic tyres, of rubber, of a kind used for motorcycles",0,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,14,0,0,0,0,,7784,8135,10468,9436,10511,17276,15359,15639,16666,21602
401162,"Pneumatic tyres, new, of rubber, having a """"herring-bone"""" or similar tread, of a kind used ...""",0,0,0,0,0,0,0,0,0,0,,114,94,217,257,92,0,0,0,0,0,,99,87,82,46,224,0,0,0,0,0
401590,"Articles of apparel and clothing accessories, for all purposes, of vulcanised rubber (excluding ...",0,0,0,0,0,0,0,0,0,0,,988,775,35,171,731,1261,107,638,1737,3608,,751,526,456,460,721,382,585,382,662,433
410390,"Raw hides and skins, fresh, or salted, dried, limed, pickled or otherwise preserved, whether ...""",0,0,0,0,0,0,0,0,0,0,,0,122,215,403,156,61,12,0,3,0,,37500,50791,61393,50080,46565,31070,13735,1296,1492,2415
410621,"Hides and skins of goats or kids, in the wet state """"incl. wet-blue"""", tanned, without wool ...""",0,0,0,0,0,0,0,0,0,0,,5060,11119,14999,5668,5491,12019,6482,6703,4644,7482,,176,121,69,299,23,75,0,11,0,0
410640,"Tanned or crust hides and skins of reptiles, whether or not split (excluding further prepared)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,21,98,25,5,0,5,0,0,0
420219,"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels and similar containers ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,54,1200,118,190,5,62,1,,10064,10388,11672,12209,11394,8954,7473,6111,6065,5200
420229,"Handbags, whether or not with shoulder strap, incl. those without handle, with outer surface ...",0,0,0,0,0,0,0,0,0,0,,160,140,1332,237,179,164,232,0,6,0,,2447,1746,1331,900,1412,1367,1650,3550,3122,4135
420231,"Wallets, purses, key-pouches, cigarette-cases, tobacco-pouches and similar articles carried ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,749,58,924,116,0,0,1,,59437,64509,62752,60005,72287,72717,73307,73438,70637,87505
420232,"Wallets, purses, key-pouches, cigarette-cases, tobacco-pouches and similar articles carried ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,6,47,51,75,0,0,0,,41193,32812,32841,30180,33627,38121,40466,43894,48358,54875
420321,"Specially designed gloves for use in sport, of leather or composition leather",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,43,0,0,0,0,,1843,1696,1634,2232,2133,2243,1921,1865,2024,1924
430220,"Heads, tails, paws and other pieces or cuttings of tanned or dressed furskins, not assembled",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,17,21,9,22,89,118,27,37,6,3
440122,Wood in chips or particles (excluding those of a kind used principally for dying or tanning ...,0,0,0,0,0,0,0,0,0,0,,72,98,0,0,39,1,4,0,0,0,,112025,118644,119657,119627,85516,82094,81735,75571,68798,89745
440320,"Coniferous wood in the rough, whether or not stripped of bark or sapwood, or roughly squared ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,9,59,0,0,0,0,0,,30387,33149,43373,38979,32702,266,0,0,0,0
440341,"Dark red meranti, light red meranti and meranti bakau wood in the rough, whether or not stripped ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,771,9435,738,127,0,0,0,0,0
440719,"Coniferous wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,85971,110943,56976,49948,85475
441192,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or ...""",0,0,0,0,0,0,0,0,0,0,,1604,4898,4468,1867,124,70,29,0,0,0,,16894,15610,17599,16288,16470,19376,20572,17878,20148,29147
441193,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or ...""",0,0,0,0,0,0,0,0,0,0,,0,0,96,594,543,0,0,94,0,7,,7981,4767,4651,3714,3399,3391,2354,1948,2127,3088
