Product code,Product label,Australia's imports from Viet Nam-Value in 2012,Australia's imports from Viet Nam-Value in 2013,Australia's imports from Viet Nam-Value in 2014,Australia's imports from Viet Nam-Value in 2015,Australia's imports from Viet Nam-Value in 2016,Australia's imports from Viet Nam-Value in 2017,Australia's imports from Viet Nam-Value in 2018,Australia's imports from Viet Nam-Value in 2019,Australia's imports from Viet Nam-Value in 2020,Australia's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
860400,"Railway or tramway maintenance or service vehicles, whether or not self-propelled, e.g., workshops, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,202,,27379,55537,9023,44887,7654,18667,4545,60644,10723,32730
860610,Railway or tramway tank wagons and the like (excluding self-propelled),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,374,0,,,3266,6815,2236,6101,0,4645,0,0,0,0
860691,"Railway or tramway goods vans and wagons, covered and closed (excluding self-discharging goods ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,5,,0,1300,4072,4163,6348,5137,3404,11882,0,0
860719,"Axles, for electrical purposes, and wheels and parts thereof for railway or tramway locomotives ...",0,0,0,0,0,0,0,0,0,0,,132,68,375,608,283,357,909,874,956,1330,,53390,29210,32587,19096,26405,26673,53168,54555,57661,53375
870190,"Tractors (excluding those of heading 8709, pedestrian-controlled tractors, road tractors for ...",2957,1529,1338,1481,1152,0,0,0,0,0,,13168,8281,12770,11085,10016,13187,0,0,0,,,707760,519616,536962,520843,548331,0,0,0,0,0
870350,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,341,0,,,0,0,0,0,0,18,831,257,6199,54520
844833,"Spindles, spindle flyers, spinning rings and ring travellers, for machines of heading 8445",0,0,0,0,0,0,0,0,0,0,,11,0,53,0,30,14,29,55,0,28,,65,99,258,12,37,47,23,19,31,55
844859,"Parts and accessories of machines of heading 8447, n.e.s.",0,0,0,0,0,0,0,0,0,0,,285,160,353,281,416,1648,1749,2081,751,3544,,1529,1757,1533,1495,1462,1663,1325,1234,1364,1223
844120,"Machines for making bags, sacks or envelopes out of paper pulp, paper or paperboard (excluding ...",0,0,0,0,0,0,0,0,0,0,,1072,550,6,96,471,0,228,380,79,18,,11069,3097,725,1644,9404,1583,970,373,182,2532
844240,"Parts of machinery, apparatus and equipment for preparing or making printing blocks, plates, ...",0,0,0,0,0,0,0,0,0,0,,2,0,71,45,26,32,26,72,75,185,,2053,1974,1525,861,817,1308,1350,1570,863,887
