Product code,Product label,Viet Nam's imports from India-Value in 2012,Viet Nam's imports from India-Value in 2013,Viet Nam's imports from India-Value in 2014,Viet Nam's imports from India-Value in 2015,Viet Nam's imports from India-Value in 2016,Viet Nam's imports from India-Value in 2017,Viet Nam's imports from India-Value in 2018,Viet Nam's imports from India-Value in 2019,Viet Nam's imports from India-Value in 2020,Viet Nam's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
854232,Electronic integrated circuits as memories,2,0,123,2,2,0,1,2,2782,,,14754,10903,10293,10646,6472,5048,5983,14662,12614,48385,,6590,36148,163057,271005,60141,105308,239639,585499,2078653,11277300
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",250,893,847,896,3005,11151,17133,16933,45584,,,3725,5469,10465,14338,17089,43635,163691,135274,132444,157810,,5424177,8082158,8174381,9101142,10810658,13812327,15956451,18170636,20975941,9832117
854290,"Parts of electronic integrated circuits, n.e.s.",435,245,149,9,1,24,23,21,3,,,11521,17999,13099,3525,3471,2975,2092,4341,6358,5405,,259436,270046,268265,353119,471065,485185,733076,757109,1148125,672259
854519,"Electrodes of graphite or other carbon, for electrical purposes (excluding those used for furnaces)",7,8,54,9,18,0,0,1,2,,,2911,2424,2963,2684,1807,1264,2913,1517,2148,1735,,3127,9452,4189,5542,4182,6069,5965,7337,9115,5023
854520,Carbon brushes for electrical purposes,60,86,48,34,33,29,21,14,10,,,5477,5942,5217,7345,5483,4590,5347,4005,3793,3860,,10267,9439,8943,7640,8851,9529,9836,11541,13319,14376
854690,Electrical insulators (excluding those of glass or ceramics and insulating fittings),44,60,61,98,24,396,474,881,101,,,22072,27241,31306,33350,36912,40886,46148,50269,47869,64206,,12532,15380,20482,20151,22322,26172,22622,20032,20119,17461
860310,"Self-propelled railway or tramway coaches, vans and trucks, powered from an external source ...",0,0,0,0,0,0,506,238,0,,,0,0,0,0,2,10961,152042,37630,16203,152995,,68,0,2702,0,0,26238,12447,6909,7349,29555
860630,Railway or tramway self-discharging goods vans and wagons (excluding tank wagons and the like ...,0,0,0,0,0,0,0,0,0,,,0,86,0,0,0,0,0,1,0,1,,45,63,15,845,29,91,0,1140,10,26
860692,"Railway or tramway goods vans and wagons, open, with non-removable sides of a height > 60 cm ...",0,0,0,0,0,0,0,0,0,,,13590,4,211,29,0,0,2674,0,0,0,,3,11,0,2,132,227,2650,190,1121,558
870290,"Motor vehicles for the transport of >= 10 persons, incl. driver, not with compression-ignition ...""",0,0,0,0,0,0,0,0,0,,,19016,14035,8216,1087,5054,10115,2039,3580,153,155,,2638,5438,8059,6111,7556,5390,1441,2106,694,75
