Product code,Product label,Singapore's imports from Australia-Value in 2012,Singapore's imports from Australia-Value in 2013,Singapore's imports from Australia-Value in 2014,Singapore's imports from Australia-Value in 2015,Singapore's imports from Australia-Value in 2016,Singapore's imports from Australia-Value in 2017,Singapore's imports from Australia-Value in 2018,Singapore's imports from Australia-Value in 2019,Singapore's imports from Australia-Value in 2020,Singapore's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
400690,"Rods, bars, tubes, profiles and other forms of unvulcanised rubber, incl. mixed rubber, and ...",72,42,0,2,10,8,33,0,0,0,,4044,3963,2056,2517,762,388,4389,9334,5888,3870,,3997,2605,1708,2041,2558,2486,3955,5788,4326,5126
283510,"Phosphinates """"hypophosphites"""" and phosphonates """"phosphites""""""""",0,0,0,0,0,0,0,0,0,0,,124,153,50,22,55,2573,609,19,17,28,,4535,3244,2874,2477,2155,2681,3165,2231,2317,4700
292159,"Aromatic polyamines and their derivatives; salts thereof (excluding o-phenylenediamine, m-phenylenediamine, ...",0,3,1,0,0,0,2,0,0,0,,85,44,146,135,168,220,333,847,1735,748,,757,7097,5358,1456,2993,1213,1627,1426,1607,1995
292213,Triethanolamine and its salts,0,0,0,0,0,0,0,0,0,0,,36,42,9,6,20,0,0,0,0,0,,3391,6150,2924,2604,1833,4490,0,0,0,0
292423,"2-Acetamidobenzoic acid """"N-acetylanthranilic acid"""" and its salts""""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0
293361,Melamine,0,0,0,0,0,0,0,0,0,0,,99,64,18,60,37,29,34,0,11,5,,1988,1135,1788,1038,2316,1056,4179,698,1026,3645
293430,"Heterocyclic compounds containing in the structure a phenothiazine ring-system, whether or ...",0,0,0,0,6,0,0,0,0,0,,0,8,5,3,0,4,1,6,3,0,,1882,1736,2012,2024,1559,1656,1528,1452,1264,1618
293530,N-Ethyl-N-(2-hydroxyethyl) perfluorooctane sulphonamide,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,76,171,0,0
293623,"Vitamin B2 and its derivatives, used primarily as vitamins",1,0,0,0,0,1,0,111,0,0,,31,8,284,16,70,36,12,33,133,44,,22691,17731,18155,18516,21922,27930,32538,21562,14420,15448
293120,Tributyltin compounds,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0
293139,"Separate chemically defined organo-phosphorous derivatives, n.e.s.",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,7,26,122,529,328,,0,0,0,0,0,0,766,2433,1110,701
293212,"2-Furaldehyde """"furfuraldehyde""""""""",0,1,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,,1078,618,656,522,952,819,670,1359,542,873
293292,"1-""""1,3-Benzodioxol-5-yl""""propan-2-one""""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,3,9,0,0,0,0,1
293329,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused imidazole ring, ...",0,0,0,7,23,0,1,0,1,0,,533,485,9,30,17,54,42,187,32,153,,21080,53498,5944,2606,3328,4581,4689,5427,6207,9817
