Product code,Product label,"Germany's imports from Korea, Republic of-Value in 2012","Germany's imports from Korea, Republic of-Value in 2013","Germany's imports from Korea, Republic of-Value in 2014","Germany's imports from Korea, Republic of-Value in 2015","Germany's imports from Korea, Republic of-Value in 2016","Germany's imports from Korea, Republic of-Value in 2017","Germany's imports from Korea, Republic of-Value in 2018","Germany's imports from Korea, Republic of-Value in 2019","Germany's imports from Korea, Republic of-Value in 2020","Germany's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
180100,"Cocoa beans, whole or broken, raw or roasted",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,123,279,1,0,0,,1028124,805954,764829,1240811,1406860,1173800,1178149,1183183,1210151,1240885
200210,"Tomatoes, whole or in pieces, prepared or preserved otherwise than by vinegar or acetic acid",0,0,0,0,0,0,0,0,0,0,,0,48,8,0,1,15,106,2,1,6,,189299,194821,215540,175497,166906,178791,187568,186946,204954,230363
200540,"Peas """"Pisum Sativum"""", prepared or preserved otherwise than by vinegar or acetic acid (excluding ...""",0,0,0,0,1,0,0,0,0,0,,169,153,145,142,163,128,206,107,141,182,,42995,41177,44750,29927,29810,31358,33793,32485,41306,37323
200559,"Unshelled beans """"Vigna spp., Phaseolus spp."""", prepared or preserved otherwise than by vinegar ...""",1,6,1,2,2,2,19,2,4,0,,701,789,831,551,545,449,560,641,632,738,,54610,55086,57253,53014,53228,60382,61876,61554,65732,62945
200799,"Jams, jellies, marmalades, pur?es or pastes of fruit, obtained by cooking, whether or not containing ...",0,6,3,0,0,0,0,0,0,0,,2972,2766,3673,3937,4621,4042,3548,4450,2769,3363,,191016,220940,227807,202291,204971,222442,237006,217159,243698,265325
200811,"Groundnuts, prepared or preserved (excluding preserved with sugar)",0,1,0,0,0,0,0,5,0,0,,79,122,50,1155,1042,773,137,165,88,306,,75483,76389,75156,67701,81789,113568,111175,102504,125404,113241
200860,"Cherries, prepared or preserved, whether or not containing added sugar or other sweetening ...",0,0,0,0,0,0,0,0,0,0,,0,0,71,0,0,0,0,0,3,9,,118922,129672,113764,83467,79081,87621,91068,84976,91297,92842
200880,"Strawberries, prepared or preserved, whether or not containing added sugar or other sweetening ...",0,0,0,0,0,0,0,0,0,0,,944,12,46,15,12,33,63,171,73,109,,33232,33102,26287,21747,23695,26148,26273,30098,33002,31435
200921,"Grapefruit juice, unfermented, Brix value <= 20 at 20¡ÆC, whether or not containing added sugar ...",0,0,0,0,0,0,0,0,3,0,,0,0,0,1,14,21,14,14,12,100,,15843,14911,16529,14044,14292,15088,14432,10807,9954,6058
200979,"Apple juice, unfermented, Brix value > 20 at 20¡ÆC, whether or not containing added sugar or ...",0,0,0,0,0,0,0,0,0,0,,70,252,65,74,21,252,152,153,149,284,,528558,420606,304542,212985,217895,215814,288993,179871,209204,201204
