Product code,Product label,United States of America's imports from Japan-Value in 2012,United States of America's imports from Japan-Value in 2013,United States of America's imports from Japan-Value in 2014,United States of America's imports from Japan-Value in 2015,United States of America's imports from Japan-Value in 2016,United States of America's imports from Japan-Value in 2017,United States of America's imports from Japan-Value in 2018,United States of America's imports from Japan-Value in 2019,United States of America's imports from Japan-Value in 2020,United States of America's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",512546,494170,307969,484942,389536,446836,567343,825046,344283,350597,,10748957,13262388,11429126,8131501,6527682,7194643,8637671,9427105,4684624,5619135,,54310665,53926575,50200834,30693930,23011044,28124747,36709061,36239052,23280338,37783340
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",249347,296319,271845,256265,269936,320957,351805,376400,322102,343204,,1230358,1229205,1169294,1157825,1148026,1167403,1276358,1300457,1362315,1457168,,7932497,8305433,9038677,9387920,10001887,10273952,11827933,13144139,13479940,15317509
870894,"Steering wheels, steering columns and steering boxes, and parts thereof, for tractors, motor ...",565590,531803,539547,566169,565160,541187,504388,412655,287439,336622,,1764231,1566885,1274852,1155987,1292475,1370770,1469745,1185311,873893,1084496,,3456726,3775945,4251778,4645943,4561752,4457651,4614722,4493339,3748773,4233676
841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",444766,459746,438022,472105,409075,384545,375488,337710,257031,336426,,1908268,1768968,1744892,1500562,1596589,1785867,1765344,1599953,1398596,1547836,,2008379,2102284,2277224,2236263,2093136,2280834,2235907,2135719,1752329,2159513
848310,"Transmission shafts, incl. cam shafts and crank shafts, and cranks",258965,252256,261624,259796,292589,346650,318225,313026,250811,334232,,1623251,1369331,1236552,1074215,1126345,1188065,1204895,1042603,828243,1041100,,1663462,1638499,1860998,1967483,1792091,1986740,2170090,2175266,1834403,2227315
848120,Valves for oleohydraulic or pneumatic transmission,284874,294945,318051,347617,346439,355388,370002,331446,241922,328231,,1195586,1000749,1008659,772742,900738,1211678,1416645,1253438,1388817,1667659,,1112748,1150728,1346773,1567283,1560720,1619171,1936589,1891571,1590798,1862654
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",353652,275878,257994,250584,244755,262558,255300,275593,263126,327639,,517351,492151,493353,466962,564146,566371,637695,736285,729873,887484,,2590716,2548791,2534363,2609372,2772352,3386541,3883862,3997768,5350020,6362888
841590,"Parts of air conditioning machines, comprising a motor-driven fan and elements for changing ...",243455,257548,333066,247774,212753,273356,307648,360698,246149,327216,,1789735,1482786,1419222,1079961,1136668,1147645,1230727,1096496,883936,1010781,,2645987,3125309,4000769,3662237,3806395,4218522,4929398,5564660,5389714,7138651
845811,"Horizontal lathes, incl. turning centres, for removing metal, numerically controlled",565032,522559,529439,504252,328100,391266,450497,508396,332968,324650,,2039157,1712779,1751569,1528625,1330606,1489161,1711430,1675040,1021468,1251784,,1087850,904761,904058,865664,624036,694959,931449,950766,599579,598316
840733,"Spark-ignition reciprocating piston engine, of a kind used for vehicles of chapter 87, of a ...",291793,269023,239211,274161,291316,282330,312698,313876,297783,321691,,359671,323237,246938,306948,321732,329388,385387,378581,347587,352877,,393579,339565,333999,356266,352196,336923,386201,382989,353245,441015
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",391648,395078,388712,357263,359625,386798,371311,331705,232813,319988,,486461,416745,374041,323908,324666,368701,395022,364000,318425,426104,,1933657,1829301,2014384,2032707,1822412,2004674,2203939,2102942,1773411,2301383
841199,"Parts of gas turbines, n.e.s.",389471,315462,260908,308694,297364,204044,193730,235002,273495,319139,,1671296,1479186,1126880,1217212,1337906,1166024,1384250,1266756,1406211,1487130,,3632536,3296536,3166823,3226410,3303507,3010084,2183784,2451409,2160023,2404421
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",544668,404863,416680,415418,398953,352738,343525,324588,266542,317864,,2122377,1806264,1580917,1343001,1477026,1618298,1707286,1668870,1500359,1792014,,4661595,4461382,5002067,5249856,5022201,5077587,5691761,5760291,5048217,6094784
