Product code,Product label,Saudi Arabia's imports from Germany-Value in 2012,Saudi Arabia's imports from Germany-Value in 2013,Saudi Arabia's imports from Germany-Value in 2014,Saudi Arabia's imports from Germany-Value in 2015,Saudi Arabia's imports from Germany-Value in 2016,Saudi Arabia's imports from Germany-Value in 2017,Saudi Arabia's imports from Germany-Value in 2018,Saudi Arabia's imports from Germany-Value in 2019,Saudi Arabia's imports from Germany-Value in 2020,Saudi Arabia's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
50710,"Ivory, unworked or simply prepared, its powder and waste (excluding cut to shape)",0,0,0,0,0,0,0,0,0,0,,222,1316,1329,761,351,179,205,139,121,0,,0,0,0,0,0,0,0,0,0,0
60315,"Fresh cut lilies """"Lilium spp."""" and buds, of a kind suitable for bouquets or for ornamental ...""",0,0,0,0,0,0,0,0,0,0,,466,342,506,850,943,850,912,971,929,1187,,0,0,0,0,2,0,0,0,53,36
60390,"Dried, dyed, bleached, impregnated or otherwise prepared cut flowers and buds, of a kind suitable ...",0,0,0,0,0,0,0,0,0,0,,1601,2009,1919,1811,1786,1721,1872,1489,1857,2131,,1218,2760,2443,1727,949,887,1128,910,862,483
70320,"Garlic, fresh or chilled",0,0,0,0,0,0,0,0,0,0,,4501,4662,4805,3536,5265,5015,3893,3792,5011,4424,,32743,31105,30286,40450,64580,65560,36361,51752,60381,57420
70951,"Fresh or chilled mushrooms of the genus """"Agaricus""""""""",0,0,0,0,0,0,0,0,0,0,,18606,19695,22661,20424,19094,18406,17132,15896,16147,20147,,1159,1687,1863,4934,4813,5221,6323,8151,8532,10192
70960,Fresh or chilled fruits of the genus Capsicum or Pimenta,0,0,0,0,0,0,0,0,0,0,,37402,48942,41845,37417,36887,38808,43078,39419,40741,50042,,16325,13313,19307,22135,26212,20278,21543,20600,25493,25669
71040,"Sweetcorn, uncooked or cooked by steaming or by boiling in water, frozen",0,0,0,0,0,0,0,0,0,0,,4207,4186,4104,3134,2961,2467,3207,3219,2632,4193,,14240,15039,12627,12772,13573,12194,12698,13493,11144,11583
71350,"Dried, shelled broad beans """"Vicia faba var. major"""" and horse beans """"Vicia faba var. equina ...""",0,0,0,0,0,0,0,1029,0,0,,1823,3225,2156,4098,4189,4262,13550,24471,22325,22070,,22347,22933,29298,20570,17675,16258,14235,32282,21538,18378
71390,"Dried, shelled leguminous vegetables, whether or not skinned or split (excluding peas, chickpeas, ...",0,0,0,0,0,0,0,0,0,0,,80,928,184,213,143,179,511,2211,1039,1795,,8250,12807,16403,23935,24614,15867,11208,12528,14627,12671
71490,"Arrowroot, salep, Jerusalem artichokes and similar roots and tubers with high starch or inulin ...""",0,0,0,0,0,0,0,0,0,0,,361,523,350,377,493,668,582,707,774,733,,3171,2399,3248,5778,5712,12627,14112,8482,5415,4337
80522,Fresh or dried clementines incl. monreales,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,13621,13753,15598,18430,17898,,0,0,0,0,0,0,0,0,0,5467
80840,Fresh quinces,0,0,0,0,0,0,0,0,0,0,,233,671,772,561,1009,806,842,785,1203,749,,98,176,122,285,434,302,576,359,399,482
81010,Fresh strawberries,0,0,0,0,34,0,0,99,0,0,,48384,37913,41488,52012,42091,43707,42927,45804,37644,27602,,27590,24534,28066,42100,50116,50354,49804,55595,56782,53335
81050,Fresh kiwifruit,0,0,0,0,0,0,0,0,0,0,,19333,17934,23298,21300,20507,23348,21640,14736,13099,13169,,15477,17075,17859,23134,21115,20377,25407,21182,24765,23182
