Product code,Product label,Singapore's imports from Japan-Value in 2012,Singapore's imports from Japan-Value in 2013,Singapore's imports from Japan-Value in 2014,Singapore's imports from Japan-Value in 2015,Singapore's imports from Japan-Value in 2016,Singapore's imports from Japan-Value in 2017,Singapore's imports from Japan-Value in 2018,Singapore's imports from Japan-Value in 2019,Singapore's imports from Japan-Value in 2020,Singapore's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
960860,"Refills for ball-point pens, comprising the ball-point and ink-reservoir",1546,1330,1632,1832,1863,1286,1221,1568,1155,1248,,59360,55304,59527,58095,71445,73193,71345,72879,69525,92674,,3067,2952,2917,3075,3253,3118,3155,2873,2220,2199
282810,"Calcium hypochlorites, incl. commercial calcium hypochlorite",1139,1161,1089,1285,1155,1129,1241,1261,1166,1245,,30738,29402,30839,31626,32776,31423,32766,34411,32681,28652,,2392,2416,2302,2927,2609,2821,2994,2885,2563,2758
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",4146,4404,6057,5406,3525,3358,774,410,1253,1243,,278522,372563,352231,492701,497023,568420,548679,629600,631063,882434,,48330,43271,37367,31600,32992,43909,29561,28675,37240,56066
831130,"Coated rods and cored wire, of base metal, for soldering, brazing or welding by flame (excluding ...",7581,6888,4692,3447,2330,2084,1731,1774,1157,1239,,42971,23499,20129,13823,14473,15756,15685,16738,14791,18691,,30568,28358,30774,22667,21143,28967,29787,29297,23040,29900
853120,"Indicator panels with liquid crystal devices """"LCD"""" or light emitting diodes """"LED"""" (excluding ...""",34041,18300,12449,18120,21055,16766,8103,4512,3907,1238,,90710,48766,32351,36258,38819,40763,28688,28194,27875,26413,,260811,271297,209696,251625,231066,200612,233791,204987,96333,84961
280700,Sulphuric acid; oleum,1845,1193,750,1115,794,615,529,254,390,1220,,120151,57074,55394,61007,42905,32148,57011,81649,34955,92892,,13520,13061,14557,15965,13885,13887,14272,15274,13954,20850
280430,Nitrogen,612,743,918,1777,1172,577,41,11,9,1219,,520,442,464,460,709,559,480,759,566,586,,4325,3000,3488,6329,5460,7881,6184,3085,3248,8683
722240,"Angles, shapes and sections of stainless steel, n.e.s.",4078,611,158,69,27,235,1013,395,951,1219,,25950,22615,22089,29360,21146,23930,27404,22716,18800,24322,,18800,9542,12238,11576,9061,6700,7869,11889,6921,9175
80930,"Fresh peaches, incl. nectarines",239,558,344,325,411,497,752,944,1119,1219,,4756,5900,7816,8972,11092,14308,16127,17409,17530,21169,,7396,7712,7777,8005,9633,8946,11261,12586,11612,12812
350400,"Peptones and their derivatives; other albuminous substances and their derivatives, n.e.s.; ...",362,202,167,79,245,180,95,213,475,1216,,24777,23239,22868,24082,30019,28728,40347,48494,49214,57130,,25911,36071,23510,15126,20574,25349,27199,41110,49154,60976
