Product code,Product label,Singapore's imports from United States of America-Value in 2012,Singapore's imports from United States of America-Value in 2013,Singapore's imports from United States of America-Value in 2014,Singapore's imports from United States of America-Value in 2015,Singapore's imports from United States of America-Value in 2016,Singapore's imports from United States of America-Value in 2017,Singapore's imports from United States of America-Value in 2018,Singapore's imports from United States of America-Value in 2019,Singapore's imports from United States of America-Value in 2020,Singapore's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,0,45537,49371,59667,104775,,0,0,0,0,0,8283137,9924234,11108413,11037756,13907682,,0,0,0,0,0,0,404186,393936,469931,588792
841582,"Air conditioning machines incorporating a refrigerating unit but without a valve for reversal ...""",3654,5106,6313,4441,7268,4701,8085,7358,7175,103656,,663941,756643,663718,717453,705481,630210,625923,641540,586905,657142,,140794,158913,140276,46844,24864,19841,23643,19461,20591,146009
854290,"Parts of electronic integrated circuits, n.e.s.",344259,403467,516055,305095,221109,128138,76488,84621,96057,101676,,1271094,1194940,1187554,1130778,1286181,1154184,1073515,1334220,1034335,1208029,,3492302,3491527,3788795,3463894,2968745,2205275,2060387,1616201,2442639,2925658
293339,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, ...",2035,11958,157848,292042,157971,142564,186409,133310,149330,100316,,1678284,1653282,1381688,1786444,1336449,1152277,1141548,1095205,1218709,1405089,,47648,75409,244831,374116,225092,236403,300458,214737,227165,185926
400239,"Halo-isobutene-isoprene rubber """"CIIR"""" or """"BIIR"""", in primary forms or in plates, sheets ...""",299,179,16267,208741,184518,241230,196142,118994,71666,99470,,802495,630486,603350,481262,308990,351479,279555,213317,232969,312693,,21466,66463,22898,248577,246306,314726,299211,192371,119962,151027
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,0,143100,137365,114923,97953,,0,0,0,0,0,3677071,3961318,4265405,4414010,5104601,,0,0,0,0,0,0,356613,346270,342538,409348
847989,"Machines and mechanical appliances, n.e.s.",157801,153934,157829,89083,71149,105256,93215,127929,122495,96621,,3313444,3951424,4247448,4077682,3449591,3672177,3650442,3787243,3267817,3352429,,759158,585962,539417,481101,467032,520374,628941,737023,712519,1007466
850440,Static converters,83221,82875,77126,65182,77141,82034,97067,92149,81199,95846,,3619333,3936061,4013838,4275739,3792855,3999761,4324540,4180497,3953291,4466967,,881366,856497,814701,895629,939902,1013836,1003992,951792,956162,1117216
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",142189,127723,121980,82583,71762,94137,131323,119052,76199,94814,,2381134,2283805,2437360,2296613,2169990,2306589,2388030,2116973,1820914,2206297,,689306,918603,740795,636573,632269,669077,794644,709145,646981,685750
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",88594,128217,90781,64940,79965,89711,111289,97545,94839,94814,,5375239,5689667,5932826,5997885,6263770,6320617,7075493,7059110,6246826,7250523,,276875,365278,327984,309954,371488,323457,349509,331334,280085,306193
880320,"Under-carriages and parts thereof, for aircraft, n.e.s.",18845,13682,21251,50367,25955,36473,46563,109072,80280,94094,,164443,151912,176080,179386,197738,205459,238946,211190,206349,217789,,43675,31359,46434,63969,43183,102629,79334,178862,177926,170236
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",75462,63874,67043,61295,63542,80096,88816,81641,89240,94038,,3564242,3426212,3535393,3301146,3290556,3261618,3332519,3355080,3546856,4015339,,234857,152644,156946,140797,149596,155202,178856,172191,214716,205889
350790,"Enzymes and prepared enzymes, n.e.s. (excluding rennet and concentrates thereof)",14616,21719,23005,25025,23466,31222,34812,40837,69878,93753,,436738,499939,621379,677325,677517,717040,673682,740279,802360,1118349,,98496,100968,109462,112523,113578,129446,125276,122325,156534,189624
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",156411,155977,159008,138172,116646,113115,139914,118377,101264,92162,,2883403,3104255,3458183,3486138,3340448,3357788,3544062,3359760,2808969,3426669,,1469493,1353525,1439711,1309489,1200707,1305879,1384861,1157085,1049046,1333739
