Product code,Product label,Saudi Arabia's imports from India-Value in 2012,Saudi Arabia's imports from India-Value in 2013,Saudi Arabia's imports from India-Value in 2014,Saudi Arabia's imports from India-Value in 2015,Saudi Arabia's imports from India-Value in 2016,Saudi Arabia's imports from India-Value in 2017,Saudi Arabia's imports from India-Value in 2018,Saudi Arabia's imports from India-Value in 2019,Saudi Arabia's imports from India-Value in 2020,Saudi Arabia's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
920600,"Percussion musical instruments, e.g. drums, xylophones, cymbals, castanets, maracas",0,67,62,39,28,38,11,27,10,47,,3227,4195,4488,4450,3362,3189,3163,2717,2716,2851,,72,170,166,323,327,434,857,721,281,453
281410,Anhydrous ammonia,0,0,0,0,0,0,0,22,37,47,,934,1012,1087,1001,1269,1025,844,1012,924,1487,,0,27,0,0,142,125,154,276,95,7695
830520,"Staples in strips, of base metal",0,0,0,0,0,0,4,5,87,47,,6476,8795,9293,8897,8627,10021,11042,11184,8837,12754,,695,1039,1640,1116,893,762,980,847,896,674
521141,"Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed ...",0,0,66,0,0,0,0,0,0,47,,81,376,102,110,242,406,800,1169,1592,1267,,0,0,66,19,6,7,21,22,14,56
280540,Mercury,0,0,0,0,0,0,0,22,83,47,,732,4753,713,848,1633,635,2393,5193,2300,2053,,0,0,0,56,26,17,0,26,83,50
550610,"Staple fibres of nylon or other polyamides, carded, combed or otherwise processed for spinning",0,0,0,0,35,35,46,7,47,47,,110,23,14,10,13,15,9,99,87,179,,0,0,0,38,61,44,63,12,47,69
711411,"Articles of goldsmiths' or silversmiths' wares or parts thereof, of silver, whether or not ...",0,31,79,0,0,0,0,4,0,47,,2230,2621,2592,3003,3779,7395,6561,5562,7195,14452,,6666,6376,7858,5168,1393,688,644,2338,1604,1642
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,0,46,0,0,0,0,4,4,4,47,,7942,2604,3119,3899,3476,5850,8192,27856,41957,43429,,1949,824,587,1772,3220,1679,2345,3222,5750,6470
20110,"Carcases or half-carcases of bovine animals, fresh or chilled",1099,27,0,86,486,1078,193,8,17,47,,196,1,133,56,5,32,12,0,0,0,,6249,6761,7243,9894,12525,22341,15152,10261,1221,3243
253010,"Vermiculite, perlite and chlorites, unexpanded",0,0,0,0,0,0,5,10,34,47,,306,331,308,254,297,616,667,692,1142,1510,,2368,2045,4253,2383,1747,4105,4178,2851,1780,3589
902000,Breathing appliances and gas masks (excluding protective masks having neither mechanical parts ...,0,0,0,0,0,198,64,69,87,47,,10983,2890,2170,1993,1900,1852,2069,3230,2488,3207,,16246,24138,41660,24612,15772,18874,19118,14101,29907,10765
845970,Threading or tapping machines for metals (excluding way-type unit head machines),27,38,0,0,0,28,46,93,20,46,,904,1105,1520,2641,1588,1309,1438,1740,873,1722,,1153,15622,1049,1290,1142,1410,984,997,1618,1361
