Product code,Product label,Saudi Arabia's imports from Australia-Value in 2012,Saudi Arabia's imports from Australia-Value in 2013,Saudi Arabia's imports from Australia-Value in 2014,Saudi Arabia's imports from Australia-Value in 2015,Saudi Arabia's imports from Australia-Value in 2016,Saudi Arabia's imports from Australia-Value in 2017,Saudi Arabia's imports from Australia-Value in 2018,Saudi Arabia's imports from Australia-Value in 2019,Saudi Arabia's imports from Australia-Value in 2020,Saudi Arabia's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
630420,"Bed nets, warp knit, antimalarial",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,13,8,4,3,,0,0,0,0,0,0,0,0,0,156
630231,"Bedlinen of cotton (excluding printed, knitted or crocheted)",0,0,0,0,0,0,0,0,0,0,,1606,1556,1756,1211,1313,1649,1897,2308,2122,2758,,10324,16947,20299,9042,7006,5077,5689,7085,8440,16791
630293,"Toilet linen and kitchen linen of man-made fibres (excluding floorcloths, polishing cloths, ...",0,0,0,0,0,0,0,0,4,0,,117,62,117,393,77,112,80,76,241,134,,425,181,151,224,332,677,1338,1346,2041,3359
621132,"Men's or boys' tracksuits and other garments, n.e.s. of cotton (excluding knitted or crocheted)",0,0,0,0,0,0,0,0,0,0,,1905,755,728,1158,857,454,908,635,211,427,,23138,32402,18347,12677,15973,17682,13295,14731,11985,8151
621430,"Shawls, scarves, mufflers, mantillas, veils and similar articles of synthetic fibres (excluding ...",0,0,0,0,0,0,0,5,0,0,,206,278,161,58,155,94,121,114,182,68,,10280,10202,6405,7264,10757,8744,8686,15716,7075,6573
621440,"Shawls, scarves, mufflers, mantillas, veils and similar articles of artificial fibres (excluding ...",0,0,0,0,0,0,0,0,0,0,,53,140,141,14,19,26,18,46,75,173,,7489,5596,4987,3945,7501,4898,1710,1918,653,921
621520,"Ties, bow ties and cravats of man-made fibres (excluding knitted or crocheted)",0,0,0,0,0,0,0,0,0,0,,118,118,78,21,110,31,38,17,17,72,,366,419,254,881,583,698,526,380,209,210
401192,"Pneumatic tyres, of rubber, new, of a kind used on agricultural or forestry vehicles and machines ...""",0,0,0,0,0,0,0,0,0,0,,671,1264,193,243,658,0,0,0,0,0,,17694,14177,6946,13125,3951,213,1219,369,11336,10906
401519,"Gloves, mittens and mitts, of vulcanised rubber (excl. of a kind used for medical, surgical, ...",0,0,0,0,0,0,0,0,0,0,,4456,5308,4700,3905,3290,1817,1977,2176,3153,10448,,12722,12110,15949,17420,15467,18736,17591,22342,30681,55187
401034,"Endless transmission belts of trapezoidal cross-section """"V-belts"""", of vulcanised rubber, ...""",0,0,38,0,0,0,0,9,0,0,,122,213,240,97,100,171,112,63,35,39,,1314,1196,630,1080,533,959,807,1330,134,264
401036,"Endless synchronous belts, of vulcanised rubber, of an outside circumference > 150 cm but <= ...",0,0,0,0,0,0,0,0,0,0,,41,17,1299,954,1247,1149,1013,1131,652,1101,,428,358,1220,1104,857,585,498,624,508,788
490510,"Globes, printed (excluding relief globes)",0,0,0,0,0,0,0,0,0,0,,26,53,22,25,19,18,36,48,18,8,,0,0,156,58,112,81,433,68,32,61
610441,"Women's or girls' dresses of wool or fine animal hair, knitted or crocheted (excluding petticoats)",0,0,0,0,0,0,0,0,0,0,,116,72,168,108,266,175,132,160,154,188,,27,543,27,131,126,31,14,14,85,185
610510,"Men's or boys' shirts of cotton, knitted or crocheted (excluding nightshirts, T-shirts, singlets ...",0,0,0,0,0,0,15,11,0,0,,2533,2065,1792,2223,3114,3187,3021,2285,2784,3611,,3388,5164,7373,15993,75894,140399,51463,37486,21485,17146
610729,"Men's or boys' nightshirts and pyjamas of textile materials, knitted or crocheted (excluding ...",0,0,0,0,0,0,0,0,0,0,,56,230,8,17,7,7,38,6,7,18,,1095,2587,1452,1105,2788,1432,1129,456,416,670
610799,"Men's or boys' bathrobes, dressing gowns and similar articles of textile materials, knitted ...",0,0,0,0,0,0,0,0,0,0,,97,68,42,23,98,89,72,47,31,41,,1281,761,1744,1407,2298,1671,2101,2928,3836,2558
611212,"Track-suits of synthetic fibres, knitted or crocheted",0,0,0,0,0,0,0,0,0,0,,60,47,12,55,41,390,491,212,148,159,,515,643,1184,494,662,877,966,1168,8407,12467
