Product code,Product label,China's imports from Australia-Value in 2012,China's imports from Australia-Value in 2013,China's imports from Australia-Value in 2014,China's imports from Australia-Value in 2015,China's imports from Australia-Value in 2016,China's imports from Australia-Value in 2017,China's imports from Australia-Value in 2018,China's imports from Australia-Value in 2019,China's imports from Australia-Value in 2020,China's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
120729,Cotton seeds (excluding for sowing),116774,47367,22908,2745,26291,84578,31812,0,0,43373,,186516,158516,114254,33130,74602,97083,43458,1426,1073,103446,,116774,48494,24633,2745,26291,84604,32190,1328,1558,46518
80521,Fresh or dried mandarins incl. tangerines and satsumas (excl. clementines),0,0,0,0,0,47787,40060,66516,36582,42988,,0,0,0,0,0,107633,93505,145288,101829,143685,,0,0,0,0,0,61534,66146,106349,69688,85717
80510,Fresh or dried oranges,6359,17825,25791,37991,50827,76951,107001,74989,53827,42987,,139087,137669,134643,148969,169599,223826,235256,221624,214542,204974,,110324,107011,109032,165309,242292,381961,436798,399068,307929,263287
120510,"Low erucic acid rape or colza seeds """"yielding a fixed oil which has an erucic acid content ...""",0,574046,301359,236406,28346,25830,12161,61640,209054,41654,,1527093,2196830,1285502,1131116,886146,1277786,927314,669779,786927,2157781,,1955993,2419264,2781830,2006250,1468137,2099547,2119029,1132016,1205974,1258960
30781,"Live, fresh or chilled, even in shell, abalone """"Haliotis spp.""""""""",23147,22043,21182,13029,21236,43288,60982,52488,39037,39727,,85995,70966,65816,60536,67483,68399,68037,58741,41835,48338,,24152,22635,21571,13367,30383,44190,66020,55767,42536,48439
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",79347,44084,34062,24613,49670,46684,93296,74932,83156,36003,,3378372,2403733,1821197,1098626,1398958,1337323,1403690,1535557,1184945,778112,,6523806,6955448,8693723,8779886,9750962,11911435,12034664,14782255,14963999,15582922
330510,Shampoos,868,2485,2225,3242,3596,4316,6816,13981,27823,34327,,22993,22741,21252,23495,22981,25020,33874,39376,39241,57563,,45363,45385,61919,128234,154880,183202,265333,337094,394855,471794
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",186424,360017,485635,452614,337811,323454,177363,61286,34854,31616,,381842,362918,370661,382407,341947,397956,448478,383745,358873,651186,,4127918,3915962,3461849,2875164,2201272,2828853,2509357,1924256,1032018,1677254
170490,"Sugar confectionery not containing cocoa, incl. white chocolate (excl. chewing gum)",481,139,591,3045,4451,8255,10522,11834,23712,30761,,52167,53008,44522,40965,34554,38984,58909,39542,48589,58754,,97003,110662,125234,174826,180250,187244,241331,280725,264980,320786
260300,Copper ores and concentrates,1552636,1651786,1772128,1208433,975725,1297347,1796329,1666114,1261987,29449,,5509173,4961113,4924529,3708019,3444415,3642575,4504115,4253445,4613540,5849603,,16925876,19508977,21463925,19404284,20568643,26107243,32727689,34080603,34297835,50576073
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",10544,13754,18417,17893,30808,27430,31797,46890,30026,29321,,498136,514572,577887,601850,643442,670865,600955,620908,514200,697923,,226600,261389,260593,251067,241752,260724,288849,304446,417087,326157
