Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
281820,Aluminium oxide (excluding artificial corundum),48,47413,154648,146649,147920,347020,505121,443142,370370,443462
390210,"Polypropylene, in primary forms",109841,139383,148046,80234,96446,125298,182111,294191,321011,435828
852550,"Transmission apparatus for radio-broadcasting or television, not incorporating reception apparatus",14142,13178,14724,11002,6232,6982,3370,22729,17116,432739
842430,"Steam or sand blasting machines and similar jet projecting machines, incl. water cleaning appliances ...",454,2612,466,325,789,540,277,30887,150211,428967
854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",214839,293188,371350,447719,571373,756802,848735,454469,382545,428138
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),25348,34490,44439,62083,74043,85238,116331,285593,417209,423936
610520,"Men's or boys' shirts of man-made fibres, knitted or crocheted (excluding nightshirts, T-shirts, ...",181742,201010,213094,248033,294697,358643,356338,385959,290231,417989
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",146007,179220,193582,157052,209496,279400,380219,373951,378850,414084
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,0,275462,311663,356574,409511
611430,"Special garments for professional, sporting or other purposes, n.e.s., of man-made fibres, ...",87911,112282,144722,127959,134244,169744,203722,251307,285610,398686
610822,"Women's or girls' briefs and panties of man-made fibres, knitted or crocheted",35750,44270,47506,49507,85122,168531,216488,292585,260934,395510
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",377012,205849,186721,159427,113685,158735,167158,131300,95821,390407
611241,"Women's or girls' swimwear of synthetic fibres, knitted or crocheted",38937,67724,100315,114887,122192,142936,197237,279640,253154,388061
850140,"AC motors, single-phase, of an output > 37,5 W",37575,50264,51521,50679,64762,56514,83674,145950,277361,379462
852859,"Monitors, not incorporating television reception apparatus (excluding with cathode ray tube ...",651,4954,23295,39757,140538,256742,677142,1185184,1500458,379248
847190,"Magnetic or optical readers, machines for transcribing data onto data media in coded form and ...",254313,323449,410055,385145,467446,460632,400160,422751,463728,376070
