Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
320990,"Paints and varnishes, incl. enamels and lacquers, based on synthetic or chemically modified ...",26233,31980,35360,36436,41239,48943,56120,65618,72165,64295
950450,Video game consoles and machines (excluding operated by any means of payment),339,76,247,215,2251,4250,8468,7253,5003,64144
732490,"Sanitary ware, incl. parts thereof (excluding cans, boxes and similar containers of heading ...",8293,14115,15160,10123,12537,15700,15256,16318,18769,64083
300410,"Medicaments containing penicillins or derivatives thereof with a penicillanic acid structure, ...""",63687,66169,69874,86771,79319,93211,92946,110896,108993,63991
530929,"Woven fabrics of flax, containing predominantly, but < 85% flax by weight, dyed, made of yarn ...",8417,8729,12950,21392,14507,19582,33735,50730,45789,63808
845811,"Horizontal lathes, incl. turning centres, for removing metal, numerically controlled",15796,15332,24131,28772,32589,40741,44867,49505,34867,63647
520300,"Cotton, carded or combed",19578,15334,16270,11585,14694,30337,42234,53146,38816,63569
390750,"Alkyd resins, in primary forms",62291,70033,73442,66255,67582,76474,77772,81062,69064,63530
950490,"Tables for casino games, automatic bowling alley equipment, and other funfair, table or parlour ...",14078,2135,2605,4365,7747,7148,4840,5883,12177,63479
840733,"Spark-ignition reciprocating piston engine, of a kind used for vehicles of chapter 87, of a ...",2192,3266,5143,8441,7265,12237,14348,6938,19195,63432
846150,"Sawing or cutting-off machines, for working metals, metal carbides or cermets (excluding machines ...",28487,36461,221524,41838,51766,47068,64501,65764,51933,63387
560314,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of man-made filaments, ...",11698,16838,32214,41518,45929,34946,32968,32416,31091,63355
960390,Mops and leather dusters; prepared knots and tufts for broom or brush making; squeegees of ...,8232,7533,8766,10601,14400,20048,25089,26724,26299,63246
850590,"Electromagnets and electromagnetic lifting heads, and their parts (excluding magnets for medical ...",47556,49082,48610,55926,56309,64264,66267,64158,71583,62841
560750,"Twine, cordage, ropes and cables, of synthetic fibres, whether or not plaited or braided and ...",8169,9444,10663,11196,17725,12067,16665,22289,25441,62792
851761,"Base stations of apparatus for the transmission or reception of voice, images or other data",35337,153692,171768,119177,238676,532660,160645,199759,117282,62778
151790,Edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of ...,34762,28572,28204,24200,27723,32134,34578,32165,24425,62717
902219,"Apparatus based on the use of X-rays (other than for medical, surgical, dental or veterinary ...",17762,13374,24137,16397,27112,40061,31126,60286,47110,62685
841122,Turbopropellers of a power > 1.100 kW,31,7,2066,11,28239,233,34953,37118,89502,62558
282710,Ammonium chloride,3027,2141,2115,4533,20208,25871,28018,35356,27914,62492
551614,"Woven fabrics containing >= 85% artificial staple fibres by weight, printed",2349,10808,10582,9200,2980,11799,10742,24317,29376,62455
871160,"Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor, with electric motor for ...",0,0,0,0,0,0,596,231,280,62418
150710,"Crude soya-bean oil, whether or not degummed",41243,70521,83310,117267,47371,33897,33531,38582,51705,62412
844319,"Printing machinery used for printing by means of plates, cylinders and other printing components ...",34921,34120,59518,45252,45921,40397,35597,30603,28002,62132
848079,Moulds for rubber or plastics (other than injection or compression types),139859,204810,252131,229790,217690,218712,209021,252497,238305,62112
851290,"Parts of electrical lighting or signalling equipment, windscreen wipers, defrosters and demisters ...",26703,31333,34196,34078,45683,35700,35904,41212,41274,61993
701399,"Glassware of a kind used for toilet, office, indoor decoration or similar purposes (excluding ...",9496,10961,11322,10574,11785,12243,17848,26152,28621,61795
846595,"Drilling or mortising machines for working wood, cork, bone, hard rubber, hard plastics or ...",16214,9324,11242,13804,35040,20011,22062,39617,35728,61793
