Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
870893,"Clutches and parts thereof, for tractors, motor vehicles for the transport of ten or more persons, ...",922946,913315,876139,791304,790676,803223,829445,834862,736044,955422
847590,"Parts of machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, ...",466110,427904,410201,349824,539088,317841,459298,411279,330291,954961
820730,"Interchangeable tools for pressing, stamping or punching",1599302,1425752,1229549,1198288,1052757,1117916,1290339,1161166,932092,943356
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",787243,750234,748714,686898,788739,848313,891745,865948,771146,940249
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",619166,591606,613398,644402,754267,890582,975634,1066728,921053,938664
870410,Dumpers for off-highway use,1418554,695008,511596,452088,450137,765212,1060540,743852,440683,931122
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",1505443,1338402,1311576,1355502,1259881,1254378,1159466,1113115,967188,913676
820900,"Plates, sticks, tips and the like for tools, unmounted, of sintered metal carbides or cermets",752716,703374,767462,737215,736380,798627,915951,812166,701028,899920
854190,"Parts of diodes, transistors and similar semiconductor devices; photosensitive semiconductor ...",547925,490360,488902,493834,535828,527544,614850,623246,689877,887929
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",517351,492151,493353,466962,564146,566371,637695,736285,729873,887484
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",900159,805238,790649,665510,756285,732245,813511,817180,778914,885385
841391,"Parts of pumps for liquids, n.e.s.",1201913,1092294,1055690,1009527,1119055,1018953,947676,902285,782383,883209
391000,Silicones in primary forms,749147,721849,723780,678020,691833,772778,860667,757122,718076,882768
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",278522,372563,352231,492701,497023,568420,548679,629600,631063,882434
392073,"Plates, sheets, film, foil and strip, of non-cellular cellulose acetates, not reinforced, laminated, ...",2013760,1448308,1346825,1041939,947194,900881,899737,811606,796374,868538
293090,"Organo-sulphur compounds (excl. thiocarbamates and dithiocarbamates, thiuram mono-, di- or ...",779938,749473,748654,765476,709057,614535,513999,714903,719469,866790
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",639690,813899,1080019,1490632,1389371,1625049,1558009,1376531,1053109,856860
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,739589,658315,665862,587650,661889,681534,725789,726630,783582,845716
401693,"Gaskets, washers and other seals, of vulcanised rubber (excluding hard rubber and those of ...",895461,786557,761090,677988,719596,768097,798462,745366,680453,834291
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",1144543,803969,1363134,1621309,2280223,1676821,1324684,1052985,409648,829483
320730,"Liquid lustres and similar preparations of the kind used in the ceramic, enamelling or glass ...",423393,390261,455898,432544,468622,537630,598077,508147,620415,818134
848330,"Bearing housings for machinery, not incorporating ball or roller bearings; plain shaft bearings ...",933139,790538,805455,712795,741285,796881,807229,802014,677937,810466
390740,"Polycarbonates, in primary forms",670290,584634,577516,560652,618405,692521,742390,721601,781410,807155
851190,"Parts of electrical ignition or starting equipment, generators, etc. of heading 8511, n.e.s.",806590,757201,669944,614518,636852,713063,755108,777986,684792,804461
852859,"Monitors, not incorporating television reception apparatus (excluding with cathode ray tube ...",681416,587976,696714,688071,643433,596267,729133,824115,685472,799212
854320,"Signal generators, electrical",195718,295101,435530,564867,395759,279565,354235,508509,834887,798808
720917,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",954030,820274,776920,638514,562872,673199,736944,611085,425153,797638
871140,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",953586,872550,864716,679578,588602,836221,724169,732401,584279,797245
848299,"Parts of ball or roller bearings (excluding balls, needles and rollers), n.e.s.",999427,880156,813693,690380,665684,735357,784341,707845,527650,794378
681510,"Articles of graphite or other carbon, incl. carbon fibres, for non-electrical purposes",716501,676232,734773,749597,716141,677372,782599,830883,716679,790366
730424,"Casing and tubing, seamless, of a kind used for drilling for oil or gas, of stainless steel",1325660,1134777,1071025,937111,573022,645319,737462,1216972,1131634,789119
841360,"Rotary positive displacement pumps for liquids, power-driven (excluding those of subheading ...",675254,640742,541376,464930,490356,573910,623378,648067,615328,774066
841410,Vacuum pumps,359737,347951,359568,374733,479002,641741,621730,523763,619261,773113
